Time,Value
2020-02-29 00:15:00,0.19
2020-02-29 00:30:00,0.19
2020-02-29 00:45:00,0.285
2020-02-29 01:00:00,0.095
2020-02-29 01:15:00,0.4751
2020-02-29 01:30:00,0.19
2020-02-29 01:45:00,0.19
2020-02-29 02:00:00,0.3801
2020-02-29 02:15:00,0.19
2020-02-29 02:30:00,0.19
2020-02-29 02:45:00,0.285
2020-02-29 03:00:00,0.095
2020-02-29 03:15:00,0.285
2020-02-29 03:30:00,0.095
2020-02-29 03:45:00,0.285
2020-02-29 04:00:00,0.3801
2020-02-29 04:15:00,0.19
2020-02-29 04:30:00,0.19
2020-02-29 04:45:00,0.285
2020-02-29 05:00:00,0.19
2020-02-29 05:15:00,0.19
2020-02-29 05:30:00,0.285
2020-02-29 05:45:00,0.095
2020-02-29 06:00:00,0.285
2020-02-29 06:15:00,0.095
2020-02-29 06:30:00,0.285
2020-02-29 06:45:00,0.6651
2020-02-29 07:00:00,1.2352
2020-02-29 07:15:00,2.2804
2020-02-29 07:30:00,2.4704
2020-02-29 07:45:00,1.0452
2020-02-29 08:00:00,0.9502
2020-02-29 08:15:00,0.9502
2020-02-29 08:30:00,0.9502
2020-02-29 08:45:00,36.201
2020-02-29 09:00:00,38.2914
2020-02-29 09:15:00,46.1777
2020-02-29 09:30:00,77.0578
2020-02-29 09:45:00,83.6139
2020-02-29 10:00:00,73.4472
2020-02-29 10:15:00,68.8864
2020-02-29 10:30:00,77.1528
2020-02-29 10:45:00,56.5344
2020-02-29 11:00:00,24.8941
2020-02-29 11:15:00,10.6418
2020-02-29 11:30:00,37.9113
2020-02-29 11:45:00,35.3459
2020-02-29 12:00:00,31.4502
2020-02-29 12:15:00,10.0717
2020-02-29 12:30:00,24.9891
2020-02-29 12:45:00,23.4689
2020-02-29 13:00:00,22.8038
2020-02-29 13:15:00,7.3162
2020-02-29 13:30:00,1.0452
2020-02-29 13:45:00,1.1402
2020-02-29 14:00:00,1.0452
2020-02-29 14:15:00,1.0452
2020-02-29 14:30:00,1.9953
2020-02-29 14:45:00,2.6604
2020-02-29 15:00:00,7.2212
2020-02-29 15:15:00,57.4845
2020-02-29 15:30:00,58.7197
2020-02-29 15:45:00,46.8428
2020-02-29 16:00:00,24.5141
2020-02-29 16:15:00,2.1854
2020-02-29 16:30:00,1.1402
2020-02-29 16:45:00,1.3302
2020-02-29 17:00:00,1.4252
2020-02-29 17:15:00,0.5701
2020-02-29 17:30:00,0.285
2020-02-29 17:45:00,0.095
2020-02-29 18:00:00,0.285
2020-02-29 18:15:00,0.5701
2020-02-29 18:30:00,0.3801
2020-02-29 18:45:00,0.3801
2020-02-29 19:00:00,0.3801
2020-02-29 19:15:00,0.5701
2020-02-29 19:30:00,0.3801
2020-02-29 19:45:00,0.7601
2020-02-29 20:00:00,1.0452
2020-02-29 20:15:00,0.9502
2020-02-29 20:30:00,1.0452
2020-02-29 20:45:00,0.8551
2020-02-29 21:00:00,0.9502
2020-02-29 21:15:00,0.7601
2020-02-29 21:30:00,0.7601
2020-02-29 21:45:00,5.4159
2020-02-29 22:00:00,5.3209
2020-02-29 22:15:00,0.4751
2020-02-29 22:30:00,0.285
2020-02-29 22:45:00,0.285
2020-02-29 23:00:00,0.19
2020-02-29 23:15:00,0.19
2020-02-29 23:30:00,0.285
2020-02-29 23:45:00,0.19
2020-03-01 00:00:00,0.19
2020-03-01 00:15:00,0.19
2020-03-01 00:30:00,0.19
2020-03-01 00:45:00,0.3801
2020-03-01 01:00:00,0.285
2020-03-01 01:15:00,0.095
2020-03-01 01:30:00,0.285
2020-03-01 01:45:00,0.19
2020-03-01 02:00:00,0.19
2020-03-01 02:15:00,0.19
2020-03-01 02:30:00,0.285
2020-03-01 02:45:00,0.095
2020-03-01 03:00:00,0.285
2020-03-01 03:15:00,0.19
2020-03-01 03:30:00,0.3801
2020-03-01 03:45:00,0.19
2020-03-01 04:00:00,0.285
2020-03-01 04:15:00,0.095
2020-03-01 04:30:00,0.285
2020-03-01 04:45:00,0.285
2020-03-01 05:00:00,0.285
2020-03-01 05:15:00,0.19
2020-03-01 05:30:00,0.19
2020-03-01 05:45:00,0.19
2020-03-01 06:00:00,0.19
2020-03-01 06:15:00,0.8551
2020-03-01 06:30:00,0.8551
2020-03-01 06:45:00,0.5701
2020-03-01 07:00:00,1.0452
2020-03-01 07:15:00,1.6153
2020-03-01 07:30:00,0.6651
2020-03-01 07:45:00,0.9502
2020-03-01 08:00:00,1.0452
2020-03-01 08:15:00,0.7601
2020-03-01 08:30:00,14.6324
2020-03-01 08:45:00,8.6464
2020-03-01 09:00:00,3.5156
2020-03-01 09:15:00,33.1605
2020-03-01 09:30:00,44.7524
2020-03-01 09:45:00,60.05
2020-03-01 10:00:00,65.5609
2020-03-01 10:15:00,60.145
2020-03-01 10:30:00,54.254
2020-03-01 10:45:00,28.5047
2020-03-01 11:00:00,34.3957
2020-03-01 11:15:00,30.12
2020-03-01 11:30:00,24.7041
2020-03-01 11:45:00,6.176
2020-03-01 12:00:00,11.877
2020-03-01 12:15:00,13.1122
2020-03-01 12:30:00,2.2804
2020-03-01 12:45:00,0.9502
2020-03-01 13:00:00,1.0452
2020-03-01 13:15:00,0.9502
2020-03-01 13:30:00,1.3302
2020-03-01 13:45:00,1.0452
2020-03-01 14:00:00,1.4252
2020-03-01 14:15:00,1.8053
2020-03-01 14:30:00,2.6604
2020-03-01 14:45:00,7.5062
2020-03-01 15:00:00,49.5032
2020-03-01 15:15:00,29.93
2020-03-01 15:30:00,2.4704
2020-03-01 15:45:00,0.285
2020-03-01 16:00:00,0.5701
2020-03-01 16:15:00,0.7601
2020-03-01 16:30:00,0.8551
2020-03-01 16:45:00,0.3801
2020-03-01 17:00:00,0.7601
2020-03-01 17:15:00,0.8551
2020-03-01 17:30:00,0.4751
2020-03-01 17:45:00,0.3801
2020-03-01 18:00:00,0.9502
2020-03-01 18:15:00,0.5701
2020-03-01 18:30:00,0.5701
2020-03-01 18:45:00,0.6651
2020-03-01 19:00:00,0.4751
2020-03-01 19:15:00,0.5701
2020-03-01 19:30:00,0.6651
2020-03-01 19:45:00,0.9502
2020-03-01 20:00:00,1.5203
2020-03-01 20:15:00,1.6153
2020-03-01 20:30:00,1.4252
2020-03-01 20:45:00,1.1402
2020-03-01 21:00:00,1.6153
2020-03-01 21:15:00,1.5203
2020-03-01 21:30:00,1.3302
2020-03-01 21:45:00,0.8551
2020-03-01 22:00:00,3.8006
2020-03-01 22:15:00,4.5608
2020-03-01 22:30:00,2.6604
2020-03-01 22:45:00,0.4751
2020-03-01 23:00:00,0.285
2020-03-01 23:15:00,0.285
2020-03-01 23:30:00,0.285
2020-03-01 23:45:00,0.285
2020-03-02 00:00:00,0.285
2020-03-02 00:15:00,0.4751
2020-03-02 00:30:00,0.3801
2020-03-02 00:45:00,0.3801
2020-03-02 01:00:00,0.19
2020-03-02 01:15:00,0.285
2020-03-02 01:30:00,0.19
2020-03-02 01:45:00,0.19
2020-03-02 02:00:00,0.285
2020-03-02 02:15:00,0.19
2020-03-02 02:30:00,0.19
2020-03-02 02:45:00,0.19
2020-03-02 03:00:00,0.285
2020-03-02 03:15:00,0.285
2020-03-02 03:30:00,0.3801
2020-03-02 03:45:00,0.095
2020-03-02 04:00:00,0.3801
2020-03-02 04:15:00,0.285
2020-03-02 04:30:00,0.285
2020-03-02 04:45:00,0.095
2020-03-02 05:00:00,0.285
2020-03-02 05:15:00,0.19
2020-03-02 05:30:00,0.19
2020-03-02 05:45:00,0.285
2020-03-02 06:00:00,0.19
2020-03-02 06:15:00,0.4751
2020-03-02 06:30:00,0.19
2020-03-02 06:45:00,0.285
2020-03-02 07:00:00,0.8551
2020-03-02 07:15:00,1.2352
2020-03-02 07:30:00,1.0452
2020-03-02 07:45:00,1.2352
2020-03-02 08:00:00,5.3209
2020-03-02 08:15:00,6.6511
2020-03-02 08:30:00,3.5156
2020-03-02 08:45:00,2.6604
2020-03-02 09:00:00,15.1075
2020-03-02 09:15:00,37.8163
2020-03-02 09:30:00,90.7401
2020-03-02 09:45:00,87.1295
2020-03-02 10:00:00,64.2307
2020-03-02 10:15:00,66.226
2020-03-02 10:30:00,7.621049999999999
2020-03-02 10:45:00,78.483
2020-03-02 11:00:00,47.7929
2020-03-02 11:15:00,18.5281
2020-03-02 11:30:00,9.5966
2020-03-02 11:45:00,9.5016
2020-03-02 12:00:00,3.2305
2020-03-02 12:15:00,1.4252
2020-03-02 12:30:00,4.3707
2020-03-02 12:45:00,16.8178
2020-03-02 13:00:00,15.0125
2020-03-02 13:15:00,11.2119
2020-03-02 13:30:00,1.5203
2020-03-02 13:45:00,1.4252
2020-03-02 14:00:00,1.3302
2020-03-02 14:15:00,1.2352
2020-03-02 14:30:00,2.5654
2020-03-02 14:45:00,9.6916
2020-03-02 15:00:00,43.7073
2020-03-02 15:15:00,74.9674
2020-03-02 15:30:00,72.9721
2020-03-02 15:45:00,54.9191
2020-03-02 16:00:00,13.7773
2020-03-02 16:15:00,8.6464
2020-03-02 16:30:00,1.9953
2020-03-02 16:45:00,1.9953
2020-03-02 17:00:00,1.9003
2020-03-02 17:15:00,1.8053
2020-03-02 17:30:00,1.8053
2020-03-02 17:45:00,1.2352
2020-03-02 18:00:00,1.0452
2020-03-02 18:15:00,0.5701
2020-03-02 18:30:00,0.3801
2020-03-02 18:45:00,0.3801
2020-03-02 19:00:00,0.3801
2020-03-02 19:15:00,0.6651
2020-03-02 19:30:00,0.9502
2020-03-02 19:45:00,1.6153
2020-03-02 20:00:00,1.5203
2020-03-02 20:15:00,1.2352
2020-03-02 20:30:00,0.8551
2020-03-02 20:45:00,4.4657
2020-03-02 21:00:00,4.2757
2020-03-02 21:15:00,1.3302
2020-03-02 21:30:00,0.4751
2020-03-02 21:45:00,0.19
2020-03-02 22:00:00,0.4751
2020-03-02 22:15:00,0.285
2020-03-02 22:30:00,0.3801
2020-03-02 22:45:00,0.19
2020-03-02 23:00:00,0.285
2020-03-02 23:15:00,0.285
2020-03-02 23:30:00,0.285
2020-03-02 23:45:00,0.19
2020-03-03 00:00:00,0.19
2020-03-03 00:15:00,0.19
2020-03-03 00:30:00,0.19
2020-03-03 00:45:00,0.19
2020-03-03 01:00:00,0.285
2020-03-03 01:15:00,0.5701
2020-03-03 01:30:00,0.19
2020-03-03 01:45:00,0.19
2020-03-03 02:00:00,0.19
2020-03-03 02:15:00,0.19
2020-03-03 02:30:00,0.285
2020-03-03 02:45:00,0.19
2020-03-03 03:00:00,0.19
2020-03-03 03:15:00,0.19
2020-03-03 03:30:00,0.19
2020-03-03 03:45:00,0.19
2020-03-03 04:00:00,0.4751
2020-03-03 04:15:00,0.19
2020-03-03 04:30:00,0.19
2020-03-03 04:45:00,0.19
2020-03-03 05:00:00,0.285
2020-03-03 05:15:00,0.19
2020-03-03 05:30:00,0.19
2020-03-03 05:45:00,0.19
2020-03-03 06:00:00,0.19
2020-03-03 06:15:00,0.19
2020-03-03 06:30:00,0.285
2020-03-03 06:45:00,0.0
2020-03-03 07:00:00,0.5701
2020-03-03 07:15:00,1.5203
2020-03-03 07:30:00,1.2352
2020-03-03 07:45:00,0.5701
2020-03-03 08:00:00,0.285
2020-03-03 08:15:00,0.4751
2020-03-03 08:30:00,1.6153
2020-03-03 08:45:00,46.0827
2020-03-03 09:00:00,34.3957
2020-03-03 09:15:00,55.0141
2020-03-03 09:30:00,69.1715
2020-03-03 09:45:00,71.9269
2020-03-03 10:00:00,68.6014
2020-03-03 10:15:00,10.079784895833333
2020-03-03 10:30:00,9.494928488498262
2020-03-03 10:45:00,61.0001
2020-03-03 11:00:00,47.1278
2020-03-03 11:15:00,37.3412
2020-03-03 11:30:00,39.4315
2020-03-03 11:45:00,30.5001
2020-03-03 12:00:00,39.5266
2020-03-03 12:15:00,33.2555
2020-03-03 12:30:00,33.8256
2020-03-03 12:45:00,8.7415
2020-03-03 13:00:00,2.4704
2020-03-03 13:15:00,1.1402
2020-03-03 13:30:00,21.4736
2020-03-03 13:45:00,42.7571
2020-03-03 14:00:00,24.324
2020-03-03 14:15:00,19.2882
2020-03-03 14:30:00,5.7009
2020-03-03 14:45:00,0.9502
2020-03-03 15:00:00,1.4252
2020-03-03 15:15:00,2.3754
2020-03-03 15:30:00,21.7586
2020-03-03 15:45:00,25.5592
2020-03-03 16:00:00,19.8583
2020-03-03 16:15:00,16.4377
2020-03-03 16:30:00,8.4564
2020-03-03 16:45:00,1.8053
2020-03-03 17:00:00,1.5203
2020-03-03 17:15:00,1.2352
2020-03-03 17:30:00,1.3302
2020-03-03 17:45:00,1.3302
2020-03-03 18:00:00,1.3302
2020-03-03 18:15:00,0.9502
2020-03-03 18:30:00,0.7601
2020-03-03 18:45:00,0.5701
2020-03-03 19:00:00,0.7601
2020-03-03 19:15:00,0.7601
2020-03-03 19:30:00,0.4751
2020-03-03 19:45:00,0.7601
2020-03-03 20:00:00,1.6153
2020-03-03 20:15:00,1.5203
2020-03-03 20:30:00,1.3302
2020-03-03 20:45:00,1.0452
2020-03-03 21:00:00,1.2352
2020-03-03 21:15:00,0.8551
2020-03-03 21:30:00,4.6558
