Time,Start Time,End Time,Weather
2015-04-10,2015-04-10 20:30:00,2015-04-10 20:45:00,13Heavy Rain
2015-05-21,2015-05-21 14:00:00,2015-05-21 14:15:00,13Heavy Rain
2015-07-09,2015-07-09 23:30:00,2015-07-09 23:45:00,13Heavy Rain
2015-07-10,2015-07-10 00:00:00,2015-07-10 01:15:00,13Heavy Rain
2015-10-04,2015-10-04 14:30:00,2015-10-04 14:45:00,13Heavy Rain
2016-01-16,2016-01-16 23:30:00,2016-01-16 23:45:00,13Heavy Rain
2016-07-13,2016-07-13 07:00:00,2016-07-13 07:15:00,13Heavy Rain
2016-10-19,2016-10-19 14:30:00,2016-10-19 14:45:00,13Heavy Rain
2017-05-15,2017-05-15 20:00:00,2017-05-15 20:15:00,13Heavy Rain
2017-08-28,2017-08-28 01:30:00,2017-08-28 01:45:00,13Heavy Rain
2018-02-22,2018-02-22 14:00:00,2018-02-22 14:15:00,13Heavy Rain
2018-10-15,2018-10-15 09:30:00,2018-10-15 09:45:00,13Heavy Rain
2019-03-08,2019-03-08 22:00:00,2019-03-08 22:15:00,13Heavy Rain
2020-08-19,2020-08-19 14:30:00,2020-08-19 15:45:00,13Heavy Rain
2021-04-08,2021-04-08 08:00:00,2021-04-08 08:45:00,13Heavy Rain
2021-04-16,2021-04-16 07:30:00,2021-04-16 13:45:00,13Heavy Rain
2021-04-28,2021-04-28 16:00:00,2021-04-28 16:15:00,13Heavy Rain
2021-06-27,2021-06-27 03:30:00,2021-06-27 03:45:00,13Heavy Rain
2021-12-21,2021-12-21 03:00:00,2021-12-21 03:15:00,13Heavy Rain
2022-01-24,2022-01-24 23:00:00,2022-01-24 23:15:00,13Heavy Rain
2022-01-31,2022-01-31 15:30:00,2022-01-31 15:45:00,13Heavy Rain
2022-02-01,2022-02-01 02:30:00,2022-02-01 12:15:00,13Heavy Rain
2022-02-02,2022-02-02 07:00:00,2022-02-02 23:15:00,13Heavy Rain
2022-02-03,2022-02-03 01:00:00,2022-02-03 05:45:00,13Heavy Rain
2022-02-19,2022-02-19 14:30:00,2022-02-19 14:45:00,13Heavy Rain
2022-03-07,2022-03-07 01:30:00,2022-03-07 01:45:00,13Heavy Rain
2022-03-24,2022-03-24 04:00:00,2022-03-24 13:15:00,13Heavy Rain
2022-03-25,2022-03-25 05:30:00,2022-03-25 10:45:00,13Heavy Rain
2022-05-15,2022-05-15 19:30:00,2022-05-15 19:45:00,13Heavy Rain
2022-05-22,2022-05-22 03:00:00,2022-05-22 05:15:00,13Heavy Rain
2022-07-02,2022-07-02 17:30:00,2022-07-02 17:45:00,13Heavy Rain
2022-07-03,2022-07-03 00:30:00,2022-07-03 11:15:00,13Heavy Rain
