Time,Start Time,End Time,Weather
2015-02-23,2015-02-23 15:30:00,2015-02-23 15:45:00,15Heavy Rain Shower
2015-05-11,2015-05-11 12:00:00,2015-05-11 12:15:00,15Heavy Rain Shower
2015-06-10,2015-06-10 18:30:00,2015-06-10 18:45:00,15Heavy Rain Shower
2015-07-05,2015-07-05 18:00:00,2015-07-05 18:15:00,15Heavy Rain Shower
2015-07-23,2015-07-23 14:30:00,2015-07-23 14:45:00,15Heavy Rain Shower
2015-08-11,2015-08-11 07:00:00,2015-08-11 07:15:00,15Heavy Rain Shower
2015-09-07,2015-09-07 11:00:00,2015-09-07 11:45:00,15Heavy Rain Shower
2016-05-28,2016-05-28 11:30:00,2016-05-28 11:45:00,15Heavy Rain Shower
2016-11-21,2016-11-21 01:00:00,2016-11-21 01:15:00,15Heavy Rain Shower
2017-04-26,2017-04-26 14:00:00,2017-04-26 14:15:00,15Heavy Rain Shower
2017-06-19,2017-06-19 16:00:00,2017-06-19 16:15:00,15Heavy Rain Shower
2017-07-01,2017-07-01 12:30:00,2017-07-01 12:45:00,15Heavy Rain Shower
2017-07-05,2017-07-05 17:30:00,2017-07-05 17:45:00,15Heavy Rain Shower
2017-07-07,2017-07-07 13:00:00,2017-07-07 13:15:00,15Heavy Rain Shower
2017-07-18,2017-07-18 07:00:00,2017-07-18 07:15:00,15Heavy Rain Shower
2017-08-24,2017-08-24 23:00:00,2017-08-24 23:15:00,15Heavy Rain Shower
2017-09-10,2017-09-10 11:30:00,2017-09-10 11:45:00,15Heavy Rain Shower
2018-05-09,2018-05-09 07:30:00,2018-05-09 07:45:00,15Heavy Rain Shower
2018-06-05,2018-06-05 15:30:00,2018-06-05 15:45:00,15Heavy Rain Shower
2018-06-08,2018-06-08 10:00:00,2018-06-08 12:15:00,15Heavy Rain Shower
2018-06-13,2018-06-13 04:30:00,2018-06-13 04:45:00,15Heavy Rain Shower
2018-07-09,2018-07-09 18:30:00,2018-07-09 18:45:00,15Heavy Rain Shower
2018-08-20,2018-08-20 23:00:00,2018-08-20 23:15:00,15Heavy Rain Shower
2018-08-28,2018-08-28 22:30:00,2018-08-28 22:45:00,15Heavy Rain Shower
2018-08-31,2018-08-31 13:00:00,2018-08-31 13:15:00,15Heavy Rain Shower
2019-03-05,2019-03-05 23:30:00,2019-03-05 23:45:00,15Heavy Rain Shower
2019-03-09,2019-03-09 14:30:00,2019-03-09 15:15:00,15Heavy Rain Shower
2019-04-30,2019-04-30 08:30:00,2019-04-30 08:45:00,15Heavy Rain Shower
2019-05-07,2019-05-07 02:00:00,2019-05-07 02:15:00,15Heavy Rain Shower
2019-05-08,2019-05-08 04:00:00,2019-05-08 04:15:00,15Heavy Rain Shower
2019-06-11,2019-06-11 00:00:00,2019-06-11 00:45:00,15Heavy Rain Shower
2019-06-24,2019-06-24 08:30:00,2019-06-24 16:45:00,15Heavy Rain Shower
2019-07-10,2019-07-10 14:30:00,2019-07-10 14:45:00,15Heavy Rain Shower
2019-07-14,2019-07-14 16:30:00,2019-07-14 16:45:00,15Heavy Rain Shower
2019-09-04,2019-09-04 00:00:00,2019-09-04 00:15:00,15Heavy Rain Shower
2020-02-15,2020-02-15 15:00:00,2020-02-15 15:15:00,15Heavy Rain Shower
2020-04-03,2020-04-03 18:30:00,2020-04-03 18:45:00,15Heavy Rain Shower
2020-04-06,2020-04-06 09:00:00,2020-04-06 09:45:00,15Heavy Rain Shower
2020-05-21,2020-05-21 14:30:00,2020-05-21 14:45:00,15Heavy Rain Shower
2020-05-26,2020-05-26 01:30:00,2020-05-26 01:45:00,15Heavy Rain Shower
2020-05-31,2020-05-31 09:30:00,2020-05-31 12:45:00,15Heavy Rain Shower
2020-06-03,2020-06-03 15:30:00,2020-06-03 15:45:00,15Heavy Rain Shower
2020-06-17,2020-06-17 12:30:00,2020-06-17 16:15:00,15Heavy Rain Shower
2020-06-19,2020-06-19 16:00:00,2020-06-19 16:15:00,15Heavy Rain Shower
2020-07-23,2020-07-23 08:30:00,2020-07-23 08:45:00,15Heavy Rain Shower
2020-07-31,2020-07-31 17:00:00,2020-07-31 17:15:00,15Heavy Rain Shower
2020-08-04,2020-08-04 20:00:00,2020-08-04 20:15:00,15Heavy Rain Shower
2020-08-05,2020-08-05 09:30:00,2020-08-05 09:45:00,15Heavy Rain Shower
2020-08-19,2020-08-19 07:30:00,2020-08-19 07:45:00,15Heavy Rain Shower
2020-08-22,2020-08-22 13:00:00,2020-08-22 13:15:00,15Heavy Rain Shower
2020-09-07,2020-09-07 06:30:00,2020-09-07 06:45:00,15Heavy Rain Shower
2020-09-09,2020-09-09 08:00:00,2020-09-09 08:15:00,15Heavy Rain Shower
2020-09-13,2020-09-13 14:30:00,2020-09-13 14:45:00,15Heavy Rain Shower
2020-09-18,2020-09-18 22:30:00,2020-09-18 22:45:00,15Heavy Rain Shower
2020-09-19,2020-09-19 18:30:00,2020-09-19 18:45:00,15Heavy Rain Shower
2020-09-21,2020-09-21 12:30:00,2020-09-21 12:45:00,15Heavy Rain Shower
2021-05-19,2021-05-19 15:00:00,2021-05-19 15:15:00,15Heavy Rain Shower
2021-05-24,2021-05-24 17:00:00,2021-05-24 17:15:00,15Heavy Rain Shower
2021-05-31,2021-05-31 13:30:00,2021-05-31 13:45:00,15Heavy Rain Shower
2021-06-02,2021-06-02 05:00:00,2021-06-02 05:15:00,15Heavy Rain Shower
2021-06-23,2021-06-23 04:30:00,2021-06-23 18:15:00,15Heavy Rain Shower
2021-06-24,2021-06-24 20:30:00,2021-06-24 20:45:00,15Heavy Rain Shower
2021-06-25,2021-06-25 22:30:00,2021-06-25 22:45:00,15Heavy Rain Shower
2021-06-26,2021-06-26 04:00:00,2021-06-26 04:15:00,15Heavy Rain Shower
2021-07-02,2021-07-02 07:00:00,2021-07-02 07:45:00,15Heavy Rain Shower
2021-07-08,2021-07-08 04:00:00,2021-07-08 07:15:00,15Heavy Rain Shower
2021-07-28,2021-07-28 17:30:00,2021-07-28 17:45:00,15Heavy Rain Shower
2021-08-09,2021-08-09 17:30:00,2021-08-09 18:15:00,15Heavy Rain Shower
2021-08-10,2021-08-10 15:00:00,2021-08-10 15:15:00,15Heavy Rain Shower
2021-08-11,2021-08-11 07:00:00,2021-08-11 17:45:00,15Heavy Rain Shower
2021-08-14,2021-08-14 12:30:00,2021-08-14 12:45:00,15Heavy Rain Shower
2021-08-26,2021-08-26 03:30:00,2021-08-26 03:45:00,15Heavy Rain Shower
2021-09-30,2021-09-30 05:00:00,2021-09-30 05:15:00,15Heavy Rain Shower
2022-03-17,2022-03-17 18:30:00,2022-03-17 18:45:00,15Heavy Rain Shower
2022-03-22,2022-03-22 16:30:00,2022-03-22 16:45:00,15Heavy Rain Shower
2022-03-27,2022-03-27 16:00:00,2022-03-27 16:15:00,15Heavy Rain Shower
2022-04-28,2022-04-28 08:00:00,2022-04-28 08:15:00,15Heavy Rain Shower
2022-05-01,2022-05-01 00:30:00,2022-05-01 04:15:00,15Heavy Rain Shower
2022-05-12,2022-05-12 08:30:00,2022-05-12 18:45:00,15Heavy Rain Shower
2022-05-13,2022-05-13 08:00:00,2022-05-13 15:15:00,15Heavy Rain Shower
2022-05-14,2022-05-14 22:00:00,2022-05-14 23:15:00,15Heavy Rain Shower
2022-05-15,2022-05-15 00:30:00,2022-05-15 04:45:00,15Heavy Rain Shower
2022-05-21,2022-05-21 17:30:00,2022-05-21 17:45:00,15Heavy Rain Shower
2022-05-25,2022-05-25 11:00:00,2022-05-25 11:15:00,15Heavy Rain Shower
2022-05-29,2022-05-29 05:30:00,2022-05-29 05:45:00,15Heavy Rain Shower
2022-06-07,2022-06-07 15:30:00,2022-06-07 18:45:00,15Heavy Rain Shower
2022-06-09,2022-06-09 07:30:00,2022-06-09 11:45:00,15Heavy Rain Shower
2022-06-14,2022-06-14 03:30:00,2022-06-14 03:45:00,15Heavy Rain Shower
2022-06-16,2022-06-16 18:30:00,2022-06-16 18:45:00,15Heavy Rain Shower
2022-06-20,2022-06-20 09:30:00,2022-06-20 09:45:00,15Heavy Rain Shower
2022-07-03,2022-07-03 11:30:00,2022-07-03 15:45:00,15Heavy Rain Shower
2022-07-04,2022-07-04 05:30:00,2022-07-04 05:45:00,15Heavy Rain Shower
2022-07-06,2022-07-06 20:30:00,2022-07-06 20:45:00,15Heavy Rain Shower
2022-08-04,2022-08-04 19:00:00,2022-08-04 23:15:00,15Heavy Rain Shower
2022-08-09,2022-08-09 15:00:00,2022-08-09 15:15:00,15Heavy Rain Shower
2022-08-10,2022-08-10 17:00:00,2022-08-10 17:45:00,15Heavy Rain Shower
2022-08-11,2022-08-11 08:00:00,2022-08-11 12:45:00,15Heavy Rain Shower
2022-08-12,2022-08-12 12:30:00,2022-08-12 12:45:00,15Heavy Rain Shower
2022-08-25,2022-08-25 09:30:00,2022-08-25 13:45:00,15Heavy Rain Shower
2022-08-28,2022-08-28 21:00:00,2022-08-28 21:15:00,15Heavy Rain Shower
2022-09-08,2022-09-08 13:30:00,2022-09-08 19:45:00,15Heavy Rain Shower
2022-09-30,2022-09-30 16:00:00,2022-09-30 16:15:00,15Heavy Rain Shower
2022-10-05,2022-10-05 11:00:00,2022-10-05 11:15:00,15Heavy Rain Shower
