Time,Start Time,End Time,Weather
2015-04-20,2015-04-20 19:00:00,2015-04-20 19:15:00,17Heavy T-Storm
2015-05-04,2015-05-04 19:30:00,2015-05-04 19:45:00,17Heavy T-Storm
2015-05-23,2015-05-23 12:00:00,2015-05-23 12:15:00,17Heavy T-Storm
2015-05-25,2015-05-25 17:30:00,2015-05-25 17:45:00,17Heavy T-Storm
2015-05-31,2015-05-31 08:30:00,2015-05-31 08:45:00,17Heavy T-Storm
2015-06-01,2015-06-01 13:30:00,2015-06-01 13:45:00,17Heavy T-Storm
2015-06-05,2015-06-05 17:00:00,2015-06-05 17:15:00,17Heavy T-Storm
2015-06-09,2015-06-09 19:30:00,2015-06-09 19:45:00,17Heavy T-Storm
2015-06-10,2015-06-10 14:30:00,2015-06-10 14:45:00,17Heavy T-Storm
2015-07-16,2015-07-16 03:30:00,2015-07-16 03:45:00,17Heavy T-Storm
2015-07-17,2015-07-17 05:30:00,2015-07-17 05:45:00,17Heavy T-Storm
2015-07-18,2015-07-18 16:30:00,2015-07-18 16:45:00,17Heavy T-Storm
2015-07-22,2015-07-22 17:00:00,2015-07-22 17:15:00,17Heavy T-Storm
2015-08-27,2015-08-27 21:00:00,2015-08-27 21:15:00,17Heavy T-Storm
2015-09-01,2015-09-01 14:00:00,2015-09-01 14:15:00,17Heavy T-Storm
2015-09-20,2015-09-20 17:00:00,2015-09-20 17:15:00,17Heavy T-Storm
2015-10-05,2015-10-05 16:00:00,2015-10-05 16:15:00,17Heavy T-Storm
2016-03-21,2016-03-21 01:30:00,2016-03-21 02:15:00,17Heavy T-Storm
2016-03-22,2016-03-22 01:30:00,2016-03-22 01:45:00,17Heavy T-Storm
2016-03-23,2016-03-23 08:30:00,2016-03-23 08:45:00,17Heavy T-Storm
2016-04-13,2016-04-13 05:30:00,2016-04-13 05:45:00,17Heavy T-Storm
2016-04-17,2016-04-17 23:00:00,2016-04-17 23:15:00,17Heavy T-Storm
2016-04-21,2016-04-21 07:00:00,2016-04-21 07:45:00,17Heavy T-Storm
2016-05-06,2016-05-06 18:00:00,2016-05-06 18:15:00,17Heavy T-Storm
2016-05-09,2016-05-09 18:30:00,2016-05-09 18:45:00,17Heavy T-Storm
2016-05-10,2016-05-10 01:00:00,2016-05-10 01:15:00,17Heavy T-Storm
2016-05-15,2016-05-15 18:00:00,2016-05-15 18:15:00,17Heavy T-Storm
2016-06-05,2016-06-05 09:30:00,2016-06-05 09:45:00,17Heavy T-Storm
2016-06-08,2016-06-08 05:30:00,2016-06-08 05:45:00,17Heavy T-Storm
2016-06-12,2016-06-12 17:00:00,2016-06-12 17:15:00,17Heavy T-Storm
2016-06-14,2016-06-14 19:00:00,2016-06-14 19:45:00,17Heavy T-Storm
2016-06-29,2016-06-29 17:30:00,2016-06-29 17:45:00,17Heavy T-Storm
2016-08-03,2016-08-03 00:30:00,2016-08-03 00:45:00,17Heavy T-Storm
2016-08-04,2016-08-04 16:30:00,2016-08-04 16:45:00,17Heavy T-Storm
2016-10-24,2016-10-24 15:30:00,2016-10-24 15:45:00,17Heavy T-Storm
2017-04-21,2017-04-21 13:30:00,2017-04-21 13:45:00,17Heavy T-Storm
2017-05-07,2017-05-07 04:00:00,2017-05-07 06:15:00,17Heavy T-Storm
2017-05-08,2017-05-08 18:30:00,2017-05-08 18:45:00,17Heavy T-Storm
2017-06-03,2017-06-03 19:30:00,2017-06-03 19:45:00,17Heavy T-Storm
2017-06-04,2017-06-04 17:30:00,2017-06-04 18:15:00,17Heavy T-Storm
2017-06-06,2017-06-06 23:00:00,2017-06-06 23:15:00,17Heavy T-Storm
2017-06-13,2017-06-13 22:00:00,2017-06-13 22:15:00,17Heavy T-Storm
2017-06-16,2017-06-16 00:30:00,2017-06-16 00:45:00,17Heavy T-Storm
2017-07-02,2017-07-02 12:30:00,2017-07-02 12:45:00,17Heavy T-Storm
2017-07-14,2017-07-14 16:30:00,2017-07-14 16:45:00,17Heavy T-Storm
2017-08-01,2017-08-01 19:30:00,2017-08-01 20:45:00,17Heavy T-Storm
2017-08-31,2017-08-31 01:30:00,2017-08-31 01:45:00,17Heavy T-Storm
2017-09-03,2017-09-03 20:30:00,2017-09-03 20:45:00,17Heavy T-Storm
2018-04-14,2018-04-14 17:00:00,2018-04-14 17:15:00,17Heavy T-Storm
2018-04-30,2018-04-30 17:30:00,2018-04-30 17:45:00,17Heavy T-Storm
2018-05-07,2018-05-07 16:00:00,2018-05-07 16:45:00,17Heavy T-Storm
2018-06-01,2018-06-01 14:30:00,2018-06-01 15:45:00,17Heavy T-Storm
2018-06-08,2018-06-08 14:30:00,2018-06-08 16:45:00,17Heavy T-Storm
2018-06-22,2018-06-22 14:30:00,2018-06-22 14:45:00,17Heavy T-Storm
2018-06-26,2018-06-26 10:00:00,2018-06-26 10:15:00,17Heavy T-Storm
2018-07-07,2018-07-07 15:00:00,2018-07-07 15:15:00,17Heavy T-Storm
2018-07-23,2018-07-23 13:00:00,2018-07-23 13:15:00,17Heavy T-Storm
2018-07-24,2018-07-24 10:30:00,2018-07-24 17:45:00,17Heavy T-Storm
2018-08-07,2018-08-07 18:00:00,2018-08-07 18:15:00,17Heavy T-Storm
2018-08-17,2018-08-17 14:30:00,2018-08-17 14:45:00,17Heavy T-Storm
2018-08-21,2018-08-21 23:30:00,2018-08-21 23:45:00,17Heavy T-Storm
2018-08-22,2018-08-22 00:00:00,2018-08-22 00:15:00,17Heavy T-Storm
2018-08-29,2018-08-29 15:30:00,2018-08-29 15:45:00,17Heavy T-Storm
2018-08-31,2018-08-31 13:30:00,2018-08-31 13:45:00,17Heavy T-Storm
2019-02-21,2019-02-21 17:30:00,2019-02-21 17:45:00,17Heavy T-Storm
2019-04-13,2019-04-13 04:30:00,2019-04-13 04:45:00,17Heavy T-Storm
2019-04-15,2019-04-15 18:30:00,2019-04-15 18:45:00,17Heavy T-Storm
2019-04-16,2019-04-16 00:00:00,2019-04-16 06:45:00,17Heavy T-Storm
2019-04-19,2019-04-19 05:00:00,2019-04-19 14:15:00,17Heavy T-Storm
2019-04-20,2019-04-20 10:30:00,2019-04-20 11:15:00,17Heavy T-Storm
2019-04-22,2019-04-22 15:30:00,2019-04-22 15:45:00,17Heavy T-Storm
