Time,Start Time,End Time,Weather
2015-01-12,2015-01-12 22:00:00,2015-01-12 23:15:00,03High humidty
2015-01-13,2015-01-13 05:00:00,2015-01-13 05:00:00,03High humidty
2015-02-16,2015-02-16 00:30:00,2015-02-16 03:00:00,03High humidty
2015-02-22,2015-02-22 20:00:00,2015-02-22 23:45:00,03High humidty
2015-02-23,2015-02-23 00:00:00,2015-02-23 08:15:00,03High humidty
2015-02-24,2015-02-24 07:45:00,2015-02-24 08:00:00,03High humidty
2015-03-06,2015-03-06 19:30:00,2015-03-06 21:00:00,03High humidty
2015-04-11,2015-04-11 04:15:00,2015-04-11 05:15:00,03High humidty
2015-05-11,2015-05-11 19:45:00,2015-05-11 23:30:00,03High humidty
2015-05-20,2015-05-20 22:30:00,2015-05-20 23:45:00,03High humidty
2015-05-21,2015-05-21 00:00:00,2015-05-21 04:00:00,03High humidty
2015-05-22,2015-05-22 19:00:00,2015-05-22 20:15:00,03High humidty
2015-05-23,2015-05-23 06:30:00,2015-05-23 19:30:00,03High humidty
2015-05-24,2015-05-24 02:45:00,2015-05-24 20:45:00,03High humidty
2015-05-26,2015-05-26 02:00:00,2015-05-26 21:00:00,03High humidty
2015-06-05,2015-06-05 20:00:00,2015-06-05 20:30:00,03High humidty
2015-06-06,2015-06-06 04:15:00,2015-06-06 05:00:00,03High humidty
2015-06-14,2015-06-14 17:00:00,2015-06-14 17:15:00,03High humidty
2015-06-21,2015-06-21 19:15:00,2015-06-21 23:45:00,03High humidty
2015-06-22,2015-06-22 00:00:00,2015-06-22 05:00:00,03High humidty
2015-06-23,2015-06-23 08:00:00,2015-06-23 23:45:00,03High humidty
2015-06-24,2015-06-24 00:00:00,2015-06-24 03:15:00,03High humidty
2015-06-25,2015-06-25 02:00:00,2015-06-25 14:00:00,03High humidty
2015-07-10,2015-07-10 00:15:00,2015-07-10 02:45:00,03High humidty
2015-07-17,2015-07-17 04:30:00,2015-07-17 06:15:00,03High humidty
2015-07-18,2015-07-18 04:45:00,2015-07-18 05:15:00,03High humidty
2015-07-20,2015-07-20 13:15:00,2015-07-20 15:00:00,03High humidty
2015-07-21,2015-07-21 04:45:00,2015-07-21 09:30:00,03High humidty
2015-07-24,2015-07-24 09:45:00,2015-07-24 11:30:00,03High humidty
2015-07-25,2015-07-25 04:30:00,2015-07-25 05:15:00,03High humidty
2015-07-26,2015-07-26 05:00:00,2015-07-26 05:00:00,03High humidty
2015-08-14,2015-08-14 19:30:00,2015-08-14 20:45:00,03High humidty
2015-08-15,2015-08-15 06:15:00,2015-08-15 11:30:00,03High humidty
2015-08-20,2015-08-20 10:00:00,2015-08-20 11:30:00,03High humidty
2015-08-30,2015-08-30 04:30:00,2015-08-30 23:30:00,03High humidty
2015-08-31,2015-08-31 03:45:00,2015-08-31 06:30:00,03High humidty
2015-09-02,2015-09-02 19:45:00,2015-09-02 20:15:00,03High humidty
2015-09-21,2015-09-21 07:45:00,2015-09-21 11:00:00,03High humidty
2015-10-04,2015-10-04 07:15:00,2015-10-04 08:00:00,03High humidty
2015-10-07,2015-10-07 07:45:00,2015-10-07 09:45:00,03High humidty
2015-11-19,2015-11-19 04:45:00,2015-11-19 05:00:00,03High humidty
2015-12-05,2015-12-05 19:15:00,2015-12-05 20:45:00,03High humidty
2015-12-09,2015-12-09 04:30:00,2015-12-09 23:45:00,03High humidty
2015-12-10,2015-12-10 00:00:00,2015-12-10 02:30:00,03High humidty
2015-12-20,2015-12-20 21:45:00,2015-12-20 23:45:00,03High humidty
2015-12-21,2015-12-21 00:00:00,2015-12-21 00:30:00,03High humidty
2015-12-23,2015-12-23 05:00:00,2015-12-23 23:45:00,03High humidty
2015-12-24,2015-12-24 00:00:00,2015-12-24 02:45:00,03High humidty
2015-12-25,2015-12-25 00:15:00,2015-12-25 02:45:00,03High humidty
2016-01-03,2016-01-03 11:00:00,2016-01-03 11:00:00,03High humidty
2016-01-04,2016-01-04 03:30:00,2016-01-04 08:00:00,03High humidty
2016-01-06,2016-01-06 00:45:00,2016-01-06 03:00:00,03High humidty
2016-01-11,2016-01-11 01:30:00,2016-01-11 08:15:00,03High humidty
2016-01-14,2016-01-14 23:30:00,2016-01-14 23:45:00,03High humidty
2016-01-15,2016-01-15 00:00:00,2016-01-15 19:30:00,03High humidty
2016-01-16,2016-01-16 03:30:00,2016-01-16 08:30:00,03High humidty
2016-01-17,2016-01-17 10:15:00,2016-01-17 11:15:00,03High humidty
2016-01-20,2016-01-20 13:45:00,2016-01-20 20:45:00,03High humidty
2016-01-21,2016-01-21 16:45:00,2016-01-21 17:45:00,03High humidty
2016-01-22,2016-01-22 16:30:00,2016-01-22 17:15:00,03High humidty
2016-01-27,2016-01-27 06:45:00,2016-01-27 09:30:00,03High humidty
2016-01-28,2016-01-28 09:45:00,2016-01-28 17:45:00,03High humidty
2016-01-29,2016-01-29 10:00:00,2016-01-29 17:45:00,03High humidty
2016-01-30,2016-01-30 01:15:00,2016-01-30 03:00:00,03High humidty
2016-02-01,2016-02-01 12:30:00,2016-02-01 14:30:00,03High humidty
2016-02-19,2016-02-19 16:45:00,2016-02-19 23:45:00,03High humidty
2016-02-20,2016-02-20 00:00:00,2016-02-20 02:30:00,03High humidty
2016-03-13,2016-03-13 19:15:00,2016-03-13 23:45:00,03High humidty
2016-03-15,2016-03-15 03:45:00,2016-03-15 05:30:00,03High humidty
2016-03-17,2016-03-17 01:30:00,2016-03-17 02:45:00,03High humidty
2016-03-19,2016-03-19 01:30:00,2016-03-19 07:45:00,03High humidty
2016-03-21,2016-03-21 10:45:00,2016-03-21 21:15:00,03High humidty
2016-03-22,2016-03-22 23:30:00,2016-03-22 23:45:00,03High humidty
2016-03-23,2016-03-23 00:00:00,2016-03-23 15:45:00,03High humidty
2016-03-24,2016-03-24 00:45:00,2016-03-24 23:45:00,03High humidty
2016-03-25,2016-03-25 00:00:00,2016-03-25 00:45:00,03High humidty
2016-03-31,2016-03-31 02:45:00,2016-03-31 06:00:00,03High humidty
2016-04-04,2016-04-04 19:30:00,2016-04-04 20:45:00,03High humidty
2016-04-05,2016-04-05 04:45:00,2016-04-05 05:15:00,03High humidty
2016-04-06,2016-04-06 05:00:00,2016-04-06 05:00:00,03High humidty
2016-04-10,2016-04-10 19:30:00,2016-04-10 20:30:00,03High humidty
2016-04-11,2016-04-11 02:15:00,2016-04-11 08:00:00,03High humidty
2016-04-12,2016-04-12 21:15:00,2016-04-12 23:45:00,03High humidty
2016-04-13,2016-04-13 07:30:00,2016-04-13 17:15:00,03High humidty
2016-04-14,2016-04-14 00:30:00,2016-04-14 15:15:00,03High humidty
2016-04-15,2016-04-15 04:45:00,2016-04-15 05:15:00,03High humidty
2016-04-21,2016-04-21 05:30:00,2016-04-21 08:30:00,03High humidty
2016-04-22,2016-04-22 09:30:00,2016-04-22 14:00:00,03High humidty
2016-04-24,2016-04-24 19:30:00,2016-04-24 21:30:00,03High humidty
2016-04-25,2016-04-25 01:00:00,2016-04-25 03:00:00,03High humidty
2016-05-01,2016-05-01 23:15:00,2016-05-01 23:45:00,03High humidty
2016-05-02,2016-05-02 00:00:00,2016-05-02 04:00:00,03High humidty
2016-05-03,2016-05-03 18:45:00,2016-05-03 21:00:00,03High humidty
2016-05-10,2016-05-10 07:45:00,2016-05-10 15:15:00,03High humidty
2016-05-15,2016-05-15 03:00:00,2016-05-15 23:45:00,03High humidty
2016-05-20,2016-05-20 14:00:00,2016-05-20 19:45:00,03High humidty
2016-05-21,2016-05-21 01:30:00,2016-05-21 05:00:00,03High humidty
2016-05-28,2016-05-28 19:00:00,2016-05-28 21:15:00,03High humidty
2016-06-06,2016-06-06 02:00:00,2016-06-06 14:45:00,03High humidty
2016-06-11,2016-06-11 04:45:00,2016-06-11 11:00:00,03High humidty
2016-06-28,2016-06-28 05:15:00,2016-06-28 08:30:00,03High humidty
2016-06-29,2016-06-29 06:30:00,2016-06-29 08:00:00,03High humidty
2016-07-05,2016-07-05 17:00:00,2016-07-05 17:30:00,03High humidty
2016-07-06,2016-07-06 12:45:00,2016-07-06 14:15:00,03High humidty
2016-07-10,2016-07-10 01:45:00,2016-07-10 02:15:00,03High humidty
2016-07-13,2016-07-13 07:45:00,2016-07-13 11:15:00,03High humidty
2016-07-19,2016-07-19 04:30:00,2016-07-19 05:30:00,03High humidty
2016-08-02,2016-08-02 10:00:00,2016-08-02 12:30:00,03High humidty
2016-08-03,2016-08-03 05:00:00,2016-08-03 05:15:00,03High humidty
2016-08-04,2016-08-04 02:15:00,2016-08-04 05:45:00,03High humidty
2016-08-05,2016-08-05 04:00:00,2016-08-05 05:30:00,03High humidty
2016-08-10,2016-08-10 07:30:00,2016-08-10 10:00:00,03High humidty
2016-08-11,2016-08-11 10:45:00,2016-08-11 11:00:00,03High humidty
2016-08-13,2016-08-13 19:45:00,2016-08-13 21:30:00,03High humidty
2016-08-15,2016-08-15 02:00:00,2016-08-15 23:45:00,03High humidty
2016-08-16,2016-08-16 00:00:00,2016-08-16 23:45:00,03High humidty
2016-08-17,2016-08-17 00:00:00,2016-08-17 23:45:00,03High humidty
2016-08-18,2016-08-18 00:00:00,2016-08-18 23:00:00,03High humidty
2016-08-21,2016-08-21 05:00:00,2016-08-21 10:00:00,03High humidty
2016-08-27,2016-08-27 22:15:00,2016-08-27 23:45:00,03High humidty
2016-08-28,2016-08-28 00:00:00,2016-08-28 05:45:00,03High humidty
2016-09-03,2016-09-03 05:00:00,2016-09-03 05:30:00,03High humidty
2016-09-04,2016-09-04 01:00:00,2016-09-04 02:30:00,03High humidty
2016-09-05,2016-09-05 14:45:00,2016-09-05 18:45:00,03High humidty
2016-09-06,2016-09-06 03:30:00,2016-09-06 06:15:00,03High humidty
2016-09-09,2016-09-09 13:15:00,2016-09-09 14:15:00,03High humidty
2016-09-10,2016-09-10 01:30:00,2016-09-10 14:00:00,03High humidty
2016-09-11,2016-09-11 04:15:00,2016-09-11 23:45:00,03High humidty
2016-09-12,2016-09-12 00:00:00,2016-09-12 05:30:00,03High humidty
2016-09-20,2016-09-20 01:30:00,2016-09-20 23:45:00,03High humidty
2016-09-21,2016-09-21 00:00:00,2016-09-21 07:00:00,03High humidty
2016-10-01,2016-10-01 07:30:00,2016-10-01 08:30:00,03High humidty
2016-10-04,2016-10-04 04:45:00,2016-10-04 21:30:00,03High humidty
2016-10-05,2016-10-05 02:00:00,2016-10-05 03:00:00,03High humidty
2016-10-17,2016-10-17 22:45:00,2016-10-17 23:45:00,03High humidty
2016-10-18,2016-10-18 00:00:00,2016-10-18 23:45:00,03High humidty
2016-10-19,2016-10-19 00:00:00,2016-10-19 19:15:00,03High humidty
2016-10-21,2016-10-21 15:30:00,2016-10-21 18:30:00,03High humidty
2016-10-23,2016-10-23 03:15:00,2016-10-23 06:15:00,03High humidty
2016-10-24,2016-10-24 01:15:00,2016-10-24 03:00:00,03High humidty
2016-10-27,2016-10-27 04:45:00,2016-10-27 06:30:00,03High humidty
2016-11-07,2016-11-07 04:45:00,2016-11-07 05:15:00,03High humidty
2016-11-08,2016-11-08 07:15:00,2016-11-08 08:00:00,03High humidty
2016-11-11,2016-11-11 07:30:00,2016-11-11 08:00:00,03High humidty
2016-11-14,2016-11-14 04:00:00,2016-11-14 06:15:00,03High humidty
2016-11-22,2016-11-22 07:45:00,2016-11-22 23:45:00,03High humidty
2016-11-23,2016-11-23 00:00:00,2016-11-23 08:30:00,03High humidty
2016-12-21,2016-12-21 19:45:00,2016-12-21 23:45:00,03High humidty
2016-12-22,2016-12-22 00:00:00,2016-12-22 00:30:00,03High humidty
2017-02-20,2017-02-20 02:00:00,2017-02-20 02:15:00,03High humidty
2017-02-23,2017-02-23 07:00:00,2017-02-23 09:15:00,03High humidty
2017-02-25,2017-02-25 10:45:00,2017-02-25 11:15:00,03High humidty
2017-03-06,2017-03-06 04:45:00,2017-03-06 05:15:00,03High humidty
2017-03-20,2017-03-20 02:00:00,2017-03-20 02:00:00,03High humidty
2017-04-11,2017-04-11 05:00:00,2017-04-11 23:45:00,03High humidty
2017-04-12,2017-04-12 00:00:00,2017-04-12 00:15:00,03High humidty
2017-04-26,2017-04-26 00:45:00,2017-04-26 08:15:00,03High humidty
2017-04-27,2017-04-27 02:00:00,2017-04-27 03:15:00,03High humidty
2017-05-04,2017-05-04 13:15:00,2017-05-04 15:45:00,03High humidty
2017-05-05,2017-05-05 00:15:00,2017-05-05 03:30:00,03High humidty
2017-05-08,2017-05-08 23:45:00,2017-05-08 23:45:00,03High humidty
2017-05-09,2017-05-09 00:00:00,2017-05-09 06:15:00,03High humidty
2017-05-13,2017-05-13 22:00:00,2017-05-13 23:45:00,03High humidty
2017-05-15,2017-05-15 07:15:00,2017-05-15 08:30:00,03High humidty
2017-05-24,2017-05-24 08:00:00,2017-05-24 09:15:00,03High humidty
2017-06-07,2017-06-07 04:15:00,2017-06-07 05:45:00,03High humidty
2017-06-13,2017-06-13 10:00:00,2017-06-13 13:00:00,03High humidty
