Start Time,Start Time,End Time,Weather
2016-07-10,2016-07-10 00:00:00,2016-07-10 02:00:00,08Tropical Storm
2016-08-02,2016-08-02 10:00:00,2016-08-02 22:00:00,08Tropical Storm
2016-08-18,2016-08-18 05:00:00,2016-08-18 21:00:00,08Tropical Storm
2016-09-15,2016-09-15 10:00:00,2016-09-15 15:00:00,08Tropical Storm
2016-09-28,2016-09-28 11:00:00,2016-09-28 22:00:00,08Tropical Storm
2016-10-07,2016-10-07 03:00:00,2016-10-10 16:00:00,08Tropical Storm
2016-10-21,2016-10-21 10:45:00,2016-10-21 12:00:00,08Tropical Storm
2017-07-22,2017-07-22 20:00:00,2017-07-23 13:00:00,08Tropical Storm
2017-08-23,2017-08-23 21:00:00,2017-08-24 05:00:00,08Tropical Storm
2017-09-02,2017-09-02 07:00:00,2017-09-04 01:00:00,08Tropical Storm
2017-10-16,2017-10-16 06:00:00,2017-10-16 09:00:00,08Tropical Storm
2018-06-05,2018-06-05 15:00:00,2018-06-09 05:00:00,08Tropical Storm
2018-07-17,2018-07-17 13:00:00,2018-07-18 02:00:00,08Tropical Storm
2018-08-12,2018-08-12 14:00:00,2018-08-16 04:00:00,08Tropical Storm
2018-09-11,2018-09-11 22:00:00,2018-09-13 12:00:00,08Tropical Storm
2018-09-16,2018-09-16 10:30:00,2018-09-16 15:45:00,08Tropical Storm
2018-09-17,2018-09-17 06:00:00,2018-09-17 09:00:00,08Tropical Storm
2018-11-02,2018-11-02 02:00:00,2018-11-02 23:00:00,08Tropical Storm
2019-07-31,2019-07-31 12:00:00,2019-08-02 14:00:00,08Tropical Storm
2019-08-25,2019-08-25 08:00:00,2019-08-25 13:00:00,08Tropical Storm
2020-06-13,2020-06-13 14:00:00,2020-06-14 16:00:00,08Tropical Storm
2021-07-19,2021-07-19 09:00:00,2021-07-19 17:00:00,08Tropical Storm
2021-08-04,2021-08-04 05:00:00,2021-08-06 00:00:00,08Tropical Storm
2021-10-09,2021-10-09 11:00:00,2021-10-09 21:00:00,08Tropical Storm
2022-07-02,2022-07-02 23:00:00,2022-07-03 14:00:00,08Tropical Storm
2022-07-03,2022-07-03 14:00:00,2022-07-03 16:00:00,08Tropical Storm
2022-08-09,2022-08-09 23:00:00,2022-08-10 14:00:00,08Tropical Storm
2022-11-02,2022-11-02 14:00:00,2022-11-03 05:00:00,08Tropical Storm
