Start Time,Start Time,End Time,Weather
2016-08-01,2016-08-01 16:00:00,2016-08-02 06:00:00,10Typhoon
2016-09-15,2016-09-15 07:00:00,2016-09-15 08:00:00,10Typhoon
2016-10-21,2016-10-21 13:00:00,2016-10-21 22:00:00,10Typhoon
2017-08-22,2017-08-22 20:00:00,2017-08-23 17:00:00,10Typhoon
2017-10-15,2017-10-15 02:00:00,2017-10-16 00:00:00,10Typhoon
2018-09-16,2018-09-16 19:00:00,2018-09-17 03:00:00,10Typhoon
2021-07-19,2021-07-19 23:00:00,2021-07-21 00:00:00,10Typhoon
2021-10-13,2021-10-13 04:00:00,2021-10-13 13:00:00,10Typhoon
2022-07-02,2022-07-02 07:00:00,2022-07-02 17:00:00,10Typhoon
2022-08-24,2022-08-24 17:00:00,2022-08-25 11:00:00,10Typhoon
2022-11-01,2022-11-01 17:00:00,2022-11-01 23:00:00,10Typhoon
