Time,Start Time,End Time,Weather
2015-01-01,2015-01-01 01:30:00,2015-01-01 19:00:00,01Low temperature
2015-01-08,2015-01-08 09:00:00,2015-01-08 20:30:00,01Low temperature
2015-01-09,2015-01-09 23:30:00,2015-01-09 23:45:00,01Low temperature
2015-01-11,2015-01-11 06:00:00,2015-01-11 06:00:00,01Low temperature
2015-01-12,2015-01-12 05:00:00,2015-01-12 22:45:00,01Low temperature
2015-01-13,2015-01-13 00:00:00,2015-01-13 23:45:00,01Low temperature
2015-01-14,2015-01-14 00:00:00,2015-01-14 10:45:00,01Low temperature
2015-01-15,2015-01-15 02:00:00,2015-01-15 21:00:00,01Low temperature
2015-01-16,2015-01-16 06:30:00,2015-01-16 06:30:00,01Low temperature
2015-01-19,2015-01-19 08:30:00,2015-01-19 08:30:00,01Low temperature
2015-01-21,2015-01-21 03:45:00,2015-01-21 07:30:00,01Low temperature
2015-01-23,2015-01-23 02:30:00,2015-01-23 03:15:00,01Low temperature
2015-01-30,2015-01-30 22:00:00,2015-01-30 23:30:00,01Low temperature
2015-01-31,2015-01-31 02:00:00,2015-01-31 12:00:00,01Low temperature
2015-02-04,2015-02-04 19:45:00,2015-02-04 23:00:00,01Low temperature
2015-02-05,2015-02-05 02:00:00,2015-02-05 22:00:00,01Low temperature
2015-02-06,2015-02-06 00:00:00,2015-02-06 22:30:00,01Low temperature
2015-02-09,2015-02-09 05:00:00,2015-02-09 05:00:00,01Low temperature
2015-02-10,2015-02-10 01:00:00,2015-02-10 08:30:00,01Low temperature
2015-02-11,2015-02-11 05:00:00,2015-02-11 05:00:00,01Low temperature
2015-02-12,2015-02-12 05:00:00,2015-02-12 08:00:00,01Low temperature
2015-02-13,2015-02-13 02:00:00,2015-02-13 03:30:00,01Low temperature
2015-12-07,2015-12-07 04:00:00,2015-12-07 07:30:00,01Low temperature
2015-12-16,2015-12-16 08:30:00,2015-12-16 08:30:00,01Low temperature
2015-12-17,2015-12-17 03:30:00,2015-12-17 15:00:00,01Low temperature
2015-12-18,2015-12-18 01:00:00,2015-12-18 19:30:00,01Low temperature
2015-12-19,2015-12-19 02:30:00,2015-12-19 09:00:00,01Low temperature
2016-01-13,2016-01-13 07:00:00,2016-01-13 07:00:00,01Low temperature
2016-01-15,2016-01-15 13:00:00,2016-01-15 16:30:00,01Low temperature
2016-01-18,2016-01-18 05:00:00,2016-01-18 10:00:00,01Low temperature
2016-01-22,2016-01-22 01:00:00,2016-01-22 23:45:00,01Low temperature
2016-01-23,2016-01-23 00:00:00,2016-01-23 23:45:00,01Low temperature
2016-01-24,2016-01-24 00:00:00,2016-01-24 23:45:00,01Low temperature
2016-01-25,2016-01-25 00:00:00,2016-01-25 23:45:00,01Low temperature
2016-01-26,2016-01-26 00:00:00,2016-01-26 23:45:00,01Low temperature
2016-01-27,2016-01-27 00:00:00,2016-01-27 22:45:00,01Low temperature
2016-01-28,2016-01-28 00:45:00,2016-01-28 10:00:00,01Low temperature
2016-02-01,2016-02-01 03:30:00,2016-02-01 23:45:00,01Low temperature
2016-02-02,2016-02-02 00:00:00,2016-02-02 23:45:00,01Low temperature
2016-02-03,2016-02-03 00:00:00,2016-02-03 22:45:00,01Low temperature
2016-02-04,2016-02-04 00:15:00,2016-02-04 22:45:00,01Low temperature
2016-02-05,2016-02-05 00:30:00,2016-02-05 22:00:00,01Low temperature
2016-02-06,2016-02-06 00:15:00,2016-02-06 23:30:00,01Low temperature
2016-02-07,2016-02-07 02:00:00,2016-02-07 23:45:00,01Low temperature
2016-02-08,2016-02-08 00:00:00,2016-02-08 08:30:00,01Low temperature
2016-02-09,2016-02-09 00:45:00,2016-02-09 08:30:00,01Low temperature
2016-02-10,2016-02-10 04:30:00,2016-02-10 04:30:00,01Low temperature
2016-02-15,2016-02-15 06:15:00,2016-02-15 23:45:00,01Low temperature
2016-02-16,2016-02-16 00:00:00,2016-02-16 23:00:00,01Low temperature
2016-02-17,2016-02-17 00:15:00,2016-02-17 23:45:00,01Low temperature
2016-02-18,2016-02-18 00:00:00,2016-02-18 23:30:00,01Low temperature
2016-02-19,2016-02-19 00:45:00,2016-02-19 18:45:00,01Low temperature
2016-02-20,2016-02-20 03:00:00,2016-02-20 09:00:00,01Low temperature
2016-02-21,2016-02-21 00:30:00,2016-02-21 00:30:00,01Low temperature
2016-02-23,2016-02-23 06:30:00,2016-02-23 22:30:00,01Low temperature
2016-02-24,2016-02-24 00:30:00,2016-02-24 23:30:00,01Low temperature
2016-02-25,2016-02-25 02:15:00,2016-02-25 23:15:00,01Low temperature
2016-02-26,2016-02-26 01:30:00,2016-02-26 23:15:00,01Low temperature
2016-02-27,2016-02-27 02:00:00,2016-02-27 20:30:00,01Low temperature
2016-02-28,2016-02-28 06:15:00,2016-02-28 06:45:00,01Low temperature
2016-02-29,2016-02-29 01:15:00,2016-02-29 04:45:00,01Low temperature
2016-03-03,2016-03-03 03:30:00,2016-03-03 03:30:00,01Low temperature
2016-03-10,2016-03-10 11:00:00,2016-03-10 23:45:00,01Low temperature
2016-03-11,2016-03-11 00:00:00,2016-03-11 23:45:00,01Low temperature
2016-03-12,2016-03-12 00:00:00,2016-03-12 23:45:00,01Low temperature
2016-03-13,2016-03-13 02:00:00,2016-03-13 03:30:00,01Low temperature
2016-03-14,2016-03-14 04:00:00,2016-03-14 06:30:00,01Low temperature
2016-03-15,2016-03-15 05:15:00,2016-03-15 05:30:00,01Low temperature
2016-03-25,2016-03-25 06:00:00,2016-03-25 06:00:00,01Low temperature
2016-03-26,2016-03-26 02:45:00,2016-03-26 05:30:00,01Low temperature
2016-11-26,2016-11-26 19:45:00,2016-11-26 23:30:00,01Low temperature
2016-11-27,2016-11-27 02:00:00,2016-11-27 08:30:00,01Low temperature
2016-12-16,2016-12-16 07:30:00,2016-12-16 08:00:00,01Low temperature
2016-12-27,2016-12-27 06:00:00,2016-12-27 06:00:00,01Low temperature
2016-12-28,2016-12-28 00:00:00,2016-12-28 10:45:00,01Low temperature
2016-12-29,2016-12-29 05:30:00,2016-12-29 09:30:00,01Low temperature
2017-01-13,2017-01-13 00:30:00,2017-01-13 19:30:00,01Low temperature
2017-01-14,2017-01-14 01:00:00,2017-01-14 13:00:00,01Low temperature
2017-01-15,2017-01-15 00:00:00,2017-01-15 23:00:00,01Low temperature
2017-01-16,2017-01-16 08:00:00,2017-01-16 08:45:00,01Low temperature
2017-01-21,2017-01-21 07:30:00,2017-01-21 07:30:00,01Low temperature
2017-01-23,2017-01-23 00:00:00,2017-01-23 03:00:00,01Low temperature
2017-02-09,2017-02-09 02:15:00,2017-02-09 23:45:00,01Low temperature
2017-02-10,2017-02-10 00:00:00,2017-02-10 23:30:00,01Low temperature
2017-02-11,2017-02-11 01:30:00,2017-02-11 21:30:00,01Low temperature
2017-02-12,2017-02-12 02:45:00,2017-02-12 07:30:00,01Low temperature
2017-02-23,2017-02-23 23:00:00,2017-02-23 23:00:00,01Low temperature
2017-02-24,2017-02-24 00:00:00,2017-02-24 23:45:00,01Low temperature
2017-02-25,2017-02-25 00:00:00,2017-02-25 23:45:00,01Low temperature
2017-02-26,2017-02-26 00:00:00,2017-02-26 13:00:00,01Low temperature
2017-12-09,2017-12-09 08:00:00,2017-12-09 08:00:00,01Low temperature
2017-12-10,2017-12-10 03:30:00,2017-12-10 04:30:00,01Low temperature
2017-12-16,2017-12-16 08:00:00,2017-12-16 23:00:00,01Low temperature
2017-12-17,2017-12-17 00:15:00,2017-12-17 23:45:00,01Low temperature
2017-12-18,2017-12-18 00:00:00,2017-12-18 22:30:00,01Low temperature
2017-12-19,2017-12-19 01:00:00,2017-12-19 13:30:00,01Low temperature
2017-12-20,2017-12-20 02:00:00,2017-12-20 09:30:00,01Low temperature
2017-12-21,2017-12-21 04:30:00,2017-12-21 09:30:00,01Low temperature
2018-01-08,2018-01-08 12:30:00,2018-01-08 23:45:00,01Low temperature
2018-01-09,2018-01-09 00:00:00,2018-01-09 23:45:00,01Low temperature
2018-01-10,2018-01-10 00:00:00,2018-01-10 19:30:00,01Low temperature
2018-01-11,2018-01-11 00:30:00,2018-01-11 10:15:00,01Low temperature
2018-01-12,2018-01-12 03:30:00,2018-01-12 20:00:00,01Low temperature
2018-01-13,2018-01-13 00:30:00,2018-01-13 21:00:00,01Low temperature
2018-01-15,2018-01-15 02:30:00,2018-01-15 08:00:00,01Low temperature
2018-01-17,2018-01-17 05:00:00,2018-01-17 05:00:00,01Low temperature
2018-01-28,2018-01-28 16:15:00,2018-01-28 23:45:00,01Low temperature
2018-01-29,2018-01-29 00:00:00,2018-01-29 23:45:00,01Low temperature
2018-01-30,2018-01-30 00:00:00,2018-01-30 23:45:00,01Low temperature
2018-01-31,2018-01-31 00:00:00,2018-01-31 23:45:00,01Low temperature
2018-02-01,2018-02-01 00:00:00,2018-02-01 23:15:00,01Low temperature
2018-02-02,2018-02-02 00:00:00,2018-02-02 23:45:00,01Low temperature
2018-02-03,2018-02-03 00:00:00,2018-02-03 23:45:00,01Low temperature
2018-02-04,2018-02-04 00:00:00,2018-02-04 23:45:00,01Low temperature
2018-02-05,2018-02-05 00:00:00,2018-02-05 23:45:00,01Low temperature
2018-02-06,2018-02-06 00:00:00,2018-02-06 23:45:00,01Low temperature
2018-02-07,2018-02-07 00:00:00,2018-02-07 23:30:00,01Low temperature
2018-02-08,2018-02-08 00:45:00,2018-02-08 09:00:00,01Low temperature
2018-02-09,2018-02-09 09:00:00,2018-02-09 18:30:00,01Low temperature
2018-02-11,2018-02-11 07:30:00,2018-02-11 07:30:00,01Low temperature
2018-02-12,2018-02-12 07:30:00,2018-02-12 21:15:00,01Low temperature
2018-02-13,2018-02-13 02:00:00,2018-02-13 06:45:00,01Low temperature
2018-02-22,2018-02-22 22:30:00,2018-02-22 23:00:00,01Low temperature
2018-02-23,2018-02-23 00:00:00,2018-02-23 08:00:00,01Low temperature
2018-03-08,2018-03-08 08:15:00,2018-03-08 20:15:00,01Low temperature
2018-03-09,2018-03-09 00:00:00,2018-03-09 11:00:00,01Low temperature
2018-12-09,2018-12-09 12:30:00,2018-12-09 15:30:00,01Low temperature
2018-12-10,2018-12-10 01:30:00,2018-12-10 09:30:00,01Low temperature
