Time,Start Time,End Time,Weather
2015-05-15,2015-05-15 10:00:00,2015-05-15 14:45:00,02High temperature
2015-05-25,2015-05-25 14:00:00,2015-05-25 14:00:00,02High temperature
2015-05-27,2015-05-27 12:30:00,2015-05-27 16:00:00,02High temperature
2015-05-28,2015-05-28 12:00:00,2015-05-28 15:30:00,02High temperature
2015-05-29,2015-05-29 11:30:00,2015-05-29 17:00:00,02High temperature
2015-05-30,2015-05-30 10:15:00,2015-05-30 16:00:00,02High temperature
2015-05-31,2015-05-31 11:00:00,2015-05-31 11:00:00,02High temperature
2015-06-01,2015-06-01 15:00:00,2015-06-01 15:00:00,02High temperature
2015-06-02,2015-06-02 10:30:00,2015-06-02 17:00:00,02High temperature
2015-06-03,2015-06-03 10:30:00,2015-06-03 17:00:00,02High temperature
2015-06-04,2015-06-04 08:30:00,2015-06-04 15:00:00,02High temperature
2015-06-05,2015-06-05 09:30:00,2015-06-05 12:30:00,02High temperature
2015-06-06,2015-06-06 13:00:00,2015-06-06 17:00:00,02High temperature
2015-06-07,2015-06-07 13:15:00,2015-06-07 16:30:00,02High temperature
2015-06-08,2015-06-08 12:30:00,2015-06-08 15:00:00,02High temperature
2015-06-09,2015-06-09 11:30:00,2015-06-09 16:30:00,02High temperature
2015-06-10,2015-06-10 09:30:00,2015-06-10 19:30:00,02High temperature
2015-06-11,2015-06-11 09:30:00,2015-06-11 18:30:00,02High temperature
2015-06-12,2015-06-12 11:30:00,2015-06-12 17:00:00,02High temperature
2015-06-13,2015-06-13 12:00:00,2015-06-13 14:30:00,02High temperature
2015-06-14,2015-06-14 12:30:00,2015-06-14 17:00:00,02High temperature
2015-06-15,2015-06-15 10:30:00,2015-06-15 16:30:00,02High temperature
2015-06-16,2015-06-16 09:30:00,2015-06-16 15:30:00,02High temperature
2015-06-17,2015-06-17 07:30:00,2015-06-17 15:30:00,02High temperature
2015-06-18,2015-06-18 08:30:00,2015-06-18 16:30:00,02High temperature
2015-06-19,2015-06-19 07:30:00,2015-06-19 18:30:00,02High temperature
2015-06-20,2015-06-20 09:30:00,2015-06-20 19:45:00,02High temperature
2015-06-26,2015-06-26 11:00:00,2015-06-26 15:30:00,02High temperature
2015-06-27,2015-06-27 09:30:00,2015-06-27 15:00:00,02High temperature
2015-06-28,2015-06-28 10:00:00,2015-06-28 20:00:00,02High temperature
2015-06-29,2015-06-29 10:30:00,2015-06-29 17:00:00,02High temperature
2015-06-30,2015-06-30 10:00:00,2015-06-30 20:30:00,02High temperature
2015-07-01,2015-07-01 08:30:00,2015-07-01 21:30:00,02High temperature
2015-07-02,2015-07-02 11:45:00,2015-07-02 18:00:00,02High temperature
2015-07-03,2015-07-03 09:30:00,2015-07-03 22:00:00,02High temperature
2015-07-04,2015-07-04 09:30:00,2015-07-04 17:00:00,02High temperature
2015-07-05,2015-07-05 11:00:00,2015-07-05 16:30:00,02High temperature
2015-07-06,2015-07-06 14:00:00,2015-07-06 16:00:00,02High temperature
2015-07-07,2015-07-07 12:45:00,2015-07-07 18:00:00,02High temperature
2015-07-08,2015-07-08 14:00:00,2015-07-08 15:30:00,02High temperature
2015-07-09,2015-07-09 11:45:00,2015-07-09 16:30:00,02High temperature
2015-07-11,2015-07-11 11:00:00,2015-07-11 21:30:00,02High temperature
2015-07-12,2015-07-12 08:00:00,2015-07-12 20:30:00,02High temperature
2015-07-13,2015-07-13 09:30:00,2015-07-13 17:15:00,02High temperature
2015-07-14,2015-07-14 09:30:00,2015-07-14 18:00:00,02High temperature
2015-07-15,2015-07-15 10:15:00,2015-07-15 20:00:00,02High temperature
2015-07-16,2015-07-16 10:30:00,2015-07-16 18:00:00,02High temperature
2015-07-17,2015-07-17 00:00:00,2015-07-17 00:00:00,02High temperature
2015-07-18,2015-07-18 13:00:00,2015-07-18 17:00:00,02High temperature
2015-07-19,2015-07-19 10:00:00,2015-07-19 15:45:00,02High temperature
2015-07-27,2015-07-27 09:30:00,2015-07-27 15:00:00,02High temperature
2015-07-28,2015-07-28 13:00:00,2015-07-28 13:15:00,02High temperature
2015-07-29,2015-07-29 13:30:00,2015-07-29 13:30:00,02High temperature
2015-07-30,2015-07-30 11:00:00,2015-07-30 11:00:00,02High temperature
2015-08-02,2015-08-02 13:00:00,2015-08-02 13:00:00,02High temperature
2015-08-03,2015-08-03 10:30:00,2015-08-03 10:30:00,02High temperature
2015-08-04,2015-08-04 13:15:00,2015-08-04 16:30:00,02High temperature
2015-08-05,2015-08-05 10:45:00,2015-08-05 17:30:00,02High temperature
2015-08-06,2015-08-06 09:15:00,2015-08-06 16:15:00,02High temperature
2015-08-07,2015-08-07 08:30:00,2015-08-07 23:00:00,02High temperature
2015-08-08,2015-08-08 00:00:00,2015-08-08 23:45:00,02High temperature
2015-08-09,2015-08-09 00:00:00,2015-08-09 21:30:00,02High temperature
2015-08-11,2015-08-11 10:30:00,2015-08-11 17:00:00,02High temperature
2015-08-12,2015-08-12 13:30:00,2015-08-12 21:00:00,02High temperature
2015-08-13,2015-08-13 08:00:00,2015-08-13 08:00:00,02High temperature
2015-08-16,2015-08-16 14:00:00,2015-08-16 14:00:00,02High temperature
2015-08-17,2015-08-17 13:30:00,2015-08-17 16:00:00,02High temperature
2015-08-18,2015-08-18 13:00:00,2015-08-18 16:00:00,02High temperature
2015-08-19,2015-08-19 10:30:00,2015-08-19 20:30:00,02High temperature
2015-08-20,2015-08-20 10:00:00,2015-08-20 18:00:00,02High temperature
2015-08-21,2015-08-21 10:00:00,2015-08-21 19:15:00,02High temperature
2015-08-22,2015-08-22 10:00:00,2015-08-22 21:15:00,02High temperature
2015-08-23,2015-08-23 08:30:00,2015-08-23 22:00:00,02High temperature
2015-08-24,2015-08-24 10:00:00,2015-08-24 22:30:00,02High temperature
2015-08-25,2015-08-25 02:30:00,2015-08-25 23:00:00,02High temperature
2015-08-26,2015-08-26 09:45:00,2015-08-26 11:00:00,02High temperature
2015-08-27,2015-08-27 11:00:00,2015-08-27 13:00:00,02High temperature
2015-08-28,2015-08-28 12:00:00,2015-08-28 12:00:00,02High temperature
2015-09-04,2015-09-04 15:00:00,2015-09-04 15:00:00,02High temperature
2015-09-05,2015-09-05 12:00:00,2015-09-05 16:30:00,02High temperature
2015-09-06,2015-09-06 09:00:00,2015-09-06 15:30:00,02High temperature
2015-09-08,2015-09-08 13:00:00,2015-09-08 13:00:00,02High temperature
2015-09-20,2015-09-20 10:00:00,2015-09-20 15:00:00,02High temperature
2015-09-23,2015-09-23 09:00:00,2015-09-23 09:00:00,02High temperature
2015-09-24,2015-09-24 11:30:00,2015-09-24 14:00:00,02High temperature
2015-09-25,2015-09-25 11:00:00,2015-09-25 17:00:00,02High temperature
2015-09-26,2015-09-26 11:45:00,2015-09-26 13:00:00,02High temperature
2015-09-27,2015-09-27 14:00:00,2015-09-27 14:00:00,02High temperature
2015-09-28,2015-09-28 13:30:00,2015-09-28 17:00:00,02High temperature
2015-09-29,2015-09-29 10:00:00,2015-09-29 15:00:00,02High temperature
2015-09-30,2015-09-30 09:30:00,2015-09-30 17:00:00,02High temperature
2015-10-01,2015-10-01 13:00:00,2015-10-01 15:30:00,02High temperature
2015-10-22,2015-10-22 14:00:00,2015-10-22 14:00:00,02High temperature
2016-05-07,2016-05-07 15:30:00,2016-05-07 15:30:00,02High temperature
2016-05-09,2016-05-09 09:30:00,2016-05-09 09:30:00,02High temperature
2016-05-29,2016-05-29 10:00:00,2016-05-29 15:30:00,02High temperature
2016-05-30,2016-05-30 12:30:00,2016-05-30 12:30:00,02High temperature
2016-05-31,2016-05-31 11:15:00,2016-05-31 17:30:00,02High temperature
2016-06-01,2016-06-01 12:00:00,2016-06-01 16:00:00,02High temperature
2016-06-02,2016-06-02 10:00:00,2016-06-02 16:30:00,02High temperature
2016-06-03,2016-06-03 12:00:00,2016-06-03 15:30:00,02High temperature
2016-06-04,2016-06-04 07:30:00,2016-06-04 10:00:00,02High temperature
2016-06-13,2016-06-13 09:00:00,2016-06-13 15:00:00,02High temperature
2016-06-14,2016-06-14 14:30:00,2016-06-14 18:30:00,02High temperature
2016-06-15,2016-06-15 10:45:00,2016-06-15 18:30:00,02High temperature
2016-06-18,2016-06-18 14:00:00,2016-06-18 17:30:00,02High temperature
2016-06-19,2016-06-19 09:15:00,2016-06-19 14:15:00,02High temperature
2016-06-20,2016-06-20 10:00:00,2016-06-20 18:00:00,02High temperature
2016-06-21,2016-06-21 09:00:00,2016-06-21 18:30:00,02High temperature
