Time,Start Time,End Time,Weather
2015-07-11,2015-07-11 14:30:00,2015-07-11 14:30:00,04High heat and humidty
2015-07-12,2015-07-12 12:30:00,2015-07-12 12:30:00,04High heat and humidty
2015-08-07,2015-08-07 14:30:00,2015-08-07 16:30:00,04High heat and humidty
2015-08-23,2015-08-23 14:30:00,2015-08-23 14:30:00,04High heat and humidty
2016-07-09,2016-07-09 11:30:00,2016-07-09 16:30:00,04High heat and humidty
2016-07-29,2016-07-29 15:30:00,2016-07-29 15:45:00,04High heat and humidty
2016-08-01,2016-08-01 11:30:00,2016-08-01 16:30:00,04High heat and humidty
2017-07-28,2017-07-28 14:00:00,2017-07-28 14:30:00,04High heat and humidty
2017-07-30,2017-07-30 10:30:00,2017-07-30 17:15:00,04High heat and humidty
2017-08-22,2017-08-22 09:45:00,2017-08-22 16:00:00,04High heat and humidty
2017-09-12,2017-09-12 12:30:00,2017-09-12 12:30:00,04High heat and humidty
2018-08-08,2018-08-08 13:00:00,2018-08-08 13:00:00,04High heat and humidty
2018-09-15,2018-09-15 14:30:00,2018-09-15 15:00:00,04High heat and humidty
2019-07-18,2019-07-18 12:00:00,2019-07-18 12:00:00,04High heat and humidty
2019-08-09,2019-08-09 14:30:00,2019-08-09 17:00:00,04High heat and humidty
2019-08-13,2019-08-13 14:00:00,2019-08-13 14:00:00,04High heat and humidty
2019-08-24,2019-08-24 12:45:00,2019-08-24 17:15:00,04High heat and humidty
2020-07-16,2020-07-16 13:30:00,2020-07-16 13:30:00,04High heat and humidty
2020-07-25,2020-07-25 13:00:00,2020-07-25 13:00:00,04High heat and humidty
2020-07-26,2020-07-26 14:30:00,2020-07-26 14:30:00,04High heat and humidty
2020-07-27,2020-07-27 13:30:00,2020-07-27 13:30:00,04High heat and humidty
2021-05-23,2021-05-23 13:00:00,2021-05-23 15:30:00,04High heat and humidty
2021-07-13,2021-07-13 15:30:00,2021-07-13 15:30:00,04High heat and humidty
2021-07-27,2021-07-27 11:00:00,2021-07-27 18:00:00,04High heat and humidty
2021-07-28,2021-07-28 12:00:00,2021-07-28 12:00:00,04High heat and humidty
2021-09-12,2021-09-12 12:00:00,2021-09-12 16:30:00,04High heat and humidty
2022-07-22,2022-07-22 13:30:00,2022-07-22 13:30:00,04High heat and humidty
2022-07-23,2022-07-23 14:30:00,2022-07-23 16:00:00,04High heat and humidty
2022-07-24,2022-07-24 12:00:00,2022-07-24 16:15:00,04High heat and humidty
2022-07-25,2022-07-25 13:30:00,2022-07-25 13:30:00,04High heat and humidty
2022-07-26,2022-07-26 12:00:00,2022-07-26 13:30:00,04High heat and humidty
2022-07-28,2022-07-28 14:45:00,2022-07-28 15:00:00,04High heat and humidty
2022-07-29,2022-07-29 12:30:00,2022-07-29 15:30:00,04High heat and humidty
2022-08-23,2022-08-23 15:15:00,2022-08-23 15:30:00,04High heat and humidty
2022-08-24,2022-08-24 14:00:00,2022-08-24 14:00:00,04High heat and humidty
2022-09-05,2022-09-05 15:00:00,2022-09-05 15:00:00,04High heat and humidty
2022-09-12,2022-09-12 14:30:00,2022-09-12 15:00:00,04High heat and humidty
2022-09-17,2022-09-17 10:00:00,2022-09-17 11:30:00,04High heat and humidty
2022-09-18,2022-09-18 13:15:00,2022-09-18 15:30:00,04High heat and humidty
