Time,Start Time,End Time,Weather
2015-10-04,2015-10-04 08:00:00,2015-10-04 14:45:00,16Heavy Rain Shower with Windy
2016-04-13,2016-04-13 08:00:00,2016-04-13 08:15:00,16Heavy Rain Shower with Windy
2016-07-06,2016-07-06 01:30:00,2016-07-06 01:45:00,16Heavy Rain Shower with Windy
2016-08-02,2016-08-02 04:15:00,2016-08-02 11:15:00,16Heavy Rain Shower with Windy
2016-09-01,2016-09-01 09:00:00,2016-09-01 09:15:00,16Heavy Rain Shower with Windy
2016-10-18,2016-10-18 12:30:00,2016-10-18 12:45:00,16Heavy Rain Shower with Windy
2017-07-18,2017-07-18 04:30:00,2017-07-18 04:45:00,16Heavy Rain Shower with Windy
2017-08-23,2017-08-23 08:30:00,2017-08-23 11:45:00,16Heavy Rain Shower with Windy
2017-08-27,2017-08-27 05:30:00,2017-08-27 18:30:00,16Heavy Rain Shower with Windy
2017-09-04,2017-09-04 06:30:00,2017-09-04 08:15:00,16Heavy Rain Shower with Windy
2018-05-03,2018-05-03 20:00:00,2018-05-03 20:15:00,16Heavy Rain Shower with Windy
2018-06-05,2018-06-05 12:15:00,2018-06-05 12:15:00,16Heavy Rain Shower with Windy
2018-06-08,2018-06-08 06:00:00,2018-06-08 06:45:00,16Heavy Rain Shower with Windy
2018-09-16,2018-09-16 11:00:00,2018-09-16 22:45:00,16Heavy Rain Shower with Windy
2019-05-29,2019-05-29 15:00:00,2019-05-29 15:15:00,16Heavy Rain Shower with Windy
2019-07-03,2019-07-03 14:00:00,2019-07-03 14:15:00,16Heavy Rain Shower with Windy
2019-07-31,2019-07-31 14:30:00,2019-07-31 14:45:00,16Heavy Rain Shower with Windy
2019-09-02,2019-09-02 07:30:00,2019-09-02 07:45:00,16Heavy Rain Shower with Windy
2020-08-01,2020-08-01 14:30:00,2020-08-01 16:45:00,16Heavy Rain Shower with Windy
2020-08-19,2020-08-19 04:30:00,2020-08-19 06:45:00,16Heavy Rain Shower with Windy
2020-10-13,2020-10-13 18:30:00,2020-10-13 18:45:00,16Heavy Rain Shower with Windy
2021-10-08,2021-10-08 09:00:00,2021-10-08 09:15:00,16Heavy Rain Shower with Windy
2021-10-09,2021-10-09 12:30:00,2021-10-09 12:45:00,16Heavy Rain Shower with Windy
2021-10-10,2021-10-10 05:30:00,2021-10-10 08:15:00,16Heavy Rain Shower with Windy
2021-10-13,2021-10-13 08:30:00,2021-10-13 10:00:00,16Heavy Rain Shower with Windy
2022-03-23,2022-03-23 09:30:00,2022-03-23 09:45:00,16Heavy Rain Shower with Windy
2022-05-11,2022-05-11 11:30:00,2022-05-11 11:45:00,16Heavy Rain Shower with Windy
2022-07-01,2022-07-01 13:30:00,2022-07-01 13:45:00,16Heavy Rain Shower with Windy
2022-07-02,2022-07-02 08:30:00,2022-07-02 13:15:00,16Heavy Rain Shower with Windy
2022-08-10,2022-08-10 03:00:00,2022-08-10 03:15:00,16Heavy Rain Shower with Windy
2022-08-21,2022-08-21 02:00:00,2022-08-21 02:15:00,16Heavy Rain Shower with Windy
2022-08-25,2022-08-25 17:00:00,2022-08-25 17:15:00,16Heavy Rain Shower with Windy
