Time,Start Time,End Time,Weather
2016-03-21,2016-03-21 08:30:00,2016-03-21 08:45:00,18Heavy T-Storm with Windy
2016-04-04,2016-04-04 16:30:00,2016-04-04 16:45:00,18Heavy T-Storm with Windy
2016-07-10,2016-07-10 02:00:00,2016-07-10 02:15:00,18Heavy T-Storm with Windy
2017-04-25,2017-04-25 16:30:00,2017-04-25 16:45:00,18Heavy T-Storm with Windy
2017-08-06,2017-08-06 14:30:00,2017-08-06 14:45:00,18Heavy T-Storm with Windy
2017-09-04,2017-09-04 03:30:00,2017-09-04 03:45:00,18Heavy T-Storm with Windy
2018-06-07,2018-06-07 02:00:00,2018-06-07 02:15:00,18Heavy T-Storm with Windy
2018-06-08,2018-06-08 05:30:00,2018-06-08 05:45:00,18Heavy T-Storm with Windy
2018-06-12,2018-06-12 19:00:00,2018-06-12 19:15:00,18Heavy T-Storm with Windy
2018-07-01,2018-07-01 13:30:00,2018-07-01 13:45:00,18Heavy T-Storm with Windy
2018-08-10,2018-08-10 16:30:00,2018-08-10 16:45:00,18Heavy T-Storm with Windy
2019-04-20,2019-04-20 14:00:00,2019-04-20 14:15:00,18Heavy T-Storm with Windy
2019-06-01,2019-06-01 21:00:00,2019-06-01 21:15:00,18Heavy T-Storm with Windy
2019-08-18,2019-08-18 14:30:00,2019-08-18 14:45:00,18Heavy T-Storm with Windy
2019-08-26,2019-08-26 03:30:00,2019-08-26 04:15:00,18Heavy T-Storm with Windy
2019-08-29,2019-08-29 13:00:00,2019-08-29 13:00:00,18Heavy T-Storm with Windy
2019-10-13,2019-10-13 06:00:00,2019-10-13 06:15:00,18Heavy T-Storm with Windy
2020-05-10,2020-05-10 18:30:00,2020-05-10 18:45:00,18Heavy T-Storm with Windy
2020-08-12,2020-08-12 13:00:00,2020-08-12 13:00:00,18Heavy T-Storm with Windy
2020-09-18,2020-09-18 15:30:00,2020-09-18 15:45:00,18Heavy T-Storm with Windy
2021-06-22,2021-06-22 08:00:00,2021-06-22 08:45:00,18Heavy T-Storm with Windy
2021-07-30,2021-07-30 07:00:00,2021-07-30 07:15:00,18Heavy T-Storm with Windy
2021-08-27,2021-08-27 08:00:00,2021-08-27 08:15:00,18Heavy T-Storm with Windy
2021-09-16,2021-09-16 18:00:00,2021-09-16 18:15:00,18Heavy T-Storm with Windy
2021-09-23,2021-09-23 18:00:00,2021-09-23 18:15:00,18Heavy T-Storm with Windy
2021-10-10,2021-10-10 06:00:00,2021-10-10 13:45:00,18Heavy T-Storm with Windy
2022-06-07,2022-06-07 03:30:00,2022-06-07 03:45:00,18Heavy T-Storm with Windy
2022-08-08,2022-08-08 09:30:00,2022-08-08 09:45:00,18Heavy T-Storm with Windy
2022-09-19,2022-09-19 03:30:00,2022-09-19 03:45:00,18Heavy T-Storm with Windy
