,tou,energyPrice,peakDemandSummerPrice,partialPeakDemandSummerPrice,demandSummerPrice,peakDemandWinterPrice,demandWinterPrice
2019-01-01 00:00:00,offPeakWinter,0.12081746,0.0,0.0,0.0,0.0,37.14
2019-01-01 00:15:00,offPeakWinter,0.12081746,0.0,0.0,0.0,0.0,37.14
2019-01-01 00:30:00,offPeakWinter,0.12081746,0.0,0.0,0.0,0.0,37.14
2019-01-01 00:45:00,offPeakWinter,0.12081746,0.0,0.0,0.0,0.0,37.14
2019-01-01 01:00:00,offPeakWinter,0.1152802,0.0,0.0,0.0,0.0,37.14
2019-01-01 01:15:00,offPeakWinter,0.1152802,0.0,0.0,0.0,0.0,37.14
2019-01-01 01:30:00,offPeakWinter,0.1152802,0.0,0.0,0.0,0.0,37.14
2019-01-01 01:45:00,offPeakWinter,0.1152802,0.0,0.0,0.0,0.0,37.14
2019-01-01 02:00:00,offPeakWinter,0.11414148,0.0,0.0,0.0,0.0,37.14
2019-01-01 02:15:00,offPeakWinter,0.11414148,0.0,0.0,0.0,0.0,37.14
2019-01-01 02:30:00,offPeakWinter,0.11414148,0.0,0.0,0.0,0.0,37.14
2019-01-01 02:45:00,offPeakWinter,0.11414148,0.0,0.0,0.0,0.0,37.14
2019-01-01 03:00:00,offPeakWinter,0.10995956999999999,0.0,0.0,0.0,0.0,37.14
2019-01-01 03:15:00,offPeakWinter,0.10995956999999999,0.0,0.0,0.0,0.0,37.14
2019-01-01 03:30:00,offPeakWinter,0.10995956999999999,0.0,0.0,0.0,0.0,37.14
2019-01-01 03:45:00,offPeakWinter,0.10995956999999999,0.0,0.0,0.0,0.0,37.14
2019-01-01 04:00:00,offPeakWinter,0.10876543,0.0,0.0,0.0,0.0,37.14
2019-01-01 04:15:00,offPeakWinter,0.10876543,0.0,0.0,0.0,0.0,37.14
2019-01-01 04:30:00,offPeakWinter,0.10876543,0.0,0.0,0.0,0.0,37.14
2019-01-01 04:45:00,offPeakWinter,0.10876543,0.0,0.0,0.0,0.0,37.14
2019-01-01 05:00:00,offPeakWinter,0.11213836,0.0,0.0,0.0,0.0,37.14
2019-01-01 05:15:00,offPeakWinter,0.11213836,0.0,0.0,0.0,0.0,37.14
2019-01-01 05:30:00,offPeakWinter,0.11213836,0.0,0.0,0.0,0.0,37.14
2019-01-01 05:45:00,offPeakWinter,0.11213836,0.0,0.0,0.0,0.0,37.14
2019-01-01 06:00:00,offPeakWinter,0.1282281,0.0,0.0,0.0,0.0,37.14
2019-01-01 06:15:00,offPeakWinter,0.1282281,0.0,0.0,0.0,0.0,37.14
2019-01-01 06:30:00,offPeakWinter,0.1282281,0.0,0.0,0.0,0.0,37.14
2019-01-01 06:45:00,offPeakWinter,0.1282281,0.0,0.0,0.0,0.0,37.14
2019-01-01 07:00:00,offPeakWinter,0.12603449,0.0,0.0,0.0,0.0,37.14
2019-01-01 07:15:00,offPeakWinter,0.12603449,0.0,0.0,0.0,0.0,37.14
2019-01-01 07:30:00,offPeakWinter,0.12603449,0.0,0.0,0.0,0.0,37.14
2019-01-01 07:45:00,offPeakWinter,0.12603449,0.0,0.0,0.0,0.0,37.14
2019-01-01 08:00:00,offPeakWinter,0.10540757,0.0,0.0,0.0,0.0,37.14
2019-01-01 08:15:00,offPeakWinter,0.10540757,0.0,0.0,0.0,0.0,37.14
2019-01-01 08:30:00,offPeakWinter,0.10540757,0.0,0.0,0.0,0.0,37.14
2019-01-01 08:45:00,offPeakWinter,0.10540757,0.0,0.0,0.0,0.0,37.14
2019-01-01 09:00:00,offPeakWinter,0.08348193999999999,0.0,0.0,0.0,0.0,37.14
2019-01-01 09:15:00,offPeakWinter,0.08348193999999999,0.0,0.0,0.0,0.0,37.14
