Attributes,Values
Power Load (MWh/year),50000.0
Heat Load (MWh/year),146677.967
Power Load Factor (%),44.99
Heat Load Factor (%),48.36
Power Consumption (MWh/year),88902.798
Net Power Consumption (MWh/year),44350.283
Gas Consumption (MWh/year),9685.252
Total Cost (M$/year),8.858
Operational Emissions (MtonCO2/year),18.99
LCOE (Energy) ($/kWh),0.045
CIE (Energy) (kgCO2/kWh),0.097
Gas Boiler Capacity (MW),15.698
Heat Pump Capacity (MW),19.231
Electric Boiler Capacity (MW),0.146
Battery Capacity (MWh),6.109
Thermal Storage Energy Capacity (MWh),71.262
Thermal Storage Power Capacity (MW),3.908
PV System Capacity (MW),0.129
Wind System Capacity (MW),12.721
Battery Cycles (cycles/year),1172.097
