Attributes,Values
Power Load (MWh/year),50000.0
Heat Load (MWh/year),146677.967
Power Consumption (MWh/year),651078.494
Net Power Consumption (MWh/year),-59207627131.397
Gas Consumption (MWh/year),0.0
Total Cost (M$/year),1791790.641
Operational Emissions (MtonCO2/year),0.0
LCOE (Energy) ($/kWh),9110.276
CIE (Energy) (kgCO2/kWh),0.0
Gas Boiler Capacity (MW),0.0
Heat Pump Capacity (MW),405.606
Electric Boiler Capacity (MW),3665.575
Battery Capacity (MWh),192.4
Thermal Storage Energy Capacity (MWh),886.892
Thermal Storage Power Capacity (MW),3639.729
PV System Capacity (MW),895553.08
Wind System Capacity (MW),16422317.893
Battery Cycles (cycles/year),10823.824
