Attributes,Values
Power Load (MWh/year),50000.0
Heat Load (MWh/year),146677.967
Power Consumption (MWh/year),50000.0
Net Power Consumption (MWh/year),50000.0
Gas Consumption (MWh/year),154397.86
Total Cost (M$/year),17.159
Operational Emissions (MtonCO2/year),53.53
LCOE (Energy) ($/kWh),0.087
CIE (Energy) (kgCO2/kWh),0.272
Gas Boiler Capacity (MW),34.626
Heat Pump Capacity (MW),0.0
Electric Boiler Capacity (MW),0.0
Battery Capacity (MWh),0.0
Thermal Storage Energy Capacity (MWh),0.0
Thermal Storage Power Capacity (MW),0.0
PV System Capacity (MW),0.0
Wind System Capacity (MW),0.0
Battery Cycles (cycles/year),0.0
