,Heat Load,NaturalGasBoiler,Lithium Ion Battery,PVsystem,Windsystem,Total Heat Output
2023-01-01 00:00:00,7301.659088198306,7301.659088198306,0.0,0.0,0.0,7301.659088198306
2023-01-01 00:15:00,7393.121270209325,7393.121270209325,0.0,0.0,0.0,7393.121270209325
2023-01-01 00:30:00,7518.752132298335,7518.752132298335,0.0,0.0,0.0,7518.752132298335
2023-01-01 00:45:00,7686.17869290537,7686.17869290537,0.0,0.0,0.0,7686.17869290537
2023-01-01 01:00:00,7909.285736450285,7909.285736450286,0.0,0.0,0.0,7909.285736450286
2023-01-01 01:15:00,8124.215981472093,8124.215981472093,0.0,0.0,0.0,8124.215981472093
2023-01-01 01:30:00,8054.855968445896,8054.855968445896,0.0,0.0,0.0,8054.855968445896
2023-01-01 01:45:00,8000.15746379915,8000.15746379915,0.0,0.0,0.0,8000.15746379915
2023-01-01 02:00:00,7911.322408643547,7911.3224086435475,0.0,0.0,0.0,7911.3224086435475
2023-01-01 02:15:00,7894.582273682707,7894.582273682708,0.0,0.0,0.0,7894.582273682708
2023-01-01 02:30:00,7869.55000723661,7869.550007236611,0.0,0.0,0.0,7869.550007236611
2023-01-01 02:45:00,7825.856248533475,7825.856248533474,0.0,0.0,0.0,7825.856248533474
2023-01-01 03:00:00,7805.622263647278,7805.622263647278,0.0,0.0,0.0,7805.622263647278
2023-01-01 03:15:00,7772.856798532887,7772.856798532887,0.0,0.0,0.0,7772.856798532887
2023-01-01 03:30:00,7751.707028679894,7751.707028679894,0.0,0.0,0.0,7751.707028679894
2023-01-01 03:45:00,7715.822078170544,7715.822078170544,0.0,0.0,0.0,7715.822078170544
2023-01-01 04:00:00,7720.343194997887,7720.343194997887,0.0,0.0,0.0,7720.343194997887
2023-01-01 04:15:00,7744.739382343215,7744.739382343215,0.0,0.0,0.0,7744.739382343215
2023-01-01 04:30:00,7693.890349752057,7693.890349752057,0.0,0.0,0.0,7693.890349752057
2023-01-01 04:45:00,7610.3778489861925,7610.3778489861925,0.0,0.0,0.0,7610.3778489861925
2023-01-01 05:00:00,7536.782624972126,7536.782624972126,0.0,0.0,0.0,7536.782624972126
2023-01-01 05:15:00,7420.83253986982,7420.83253986982,0.0,0.0,0.0,7420.83253986982
2023-01-01 05:30:00,7303.964917589508,7303.964917589508,0.0,0.0,0.0,7303.964917589508
2023-01-01 05:45:00,7092.759076112108,7092.759076112108,0.0,0.0,0.0,7092.759076112108
2023-01-01 06:00:00,6828.8836056052705,6828.8836056052705,0.0,0.0,0.0,6828.8836056052705
2023-01-01 06:15:00,6630.5929916263685,6630.5929916263685,0.0,0.0,0.0,6630.5929916263685
2023-01-01 06:30:00,6427.998024575935,6427.998024575935,0.0,0.0,0.0,6427.998024575935
2023-01-01 06:45:00,6252.768620246112,6252.768620246112,0.0,0.0,0.0,6252.768620246112
2023-01-01 07:00:00,6116.049814338323,6116.049814338323,0.0,0.0,0.0,6116.049814338323
2023-01-01 07:15:00,6054.414219380331,6054.414219380331,0.0,0.0,0.0,6054.414219380331
2023-01-01 07:30:00,6205.909007773371,6205.909007773371,0.0,0.0,0.0,6205.909007773371
2023-01-01 07:45:00,6481.3055645084205,6481.3055645084205,0.0,0.0,0.0,6481.3055645084205
2023-01-01 08:00:00,6994.624191351619,6994.624191351619,0.0,0.0,0.0,6994.624191351619
2023-01-01 08:15:00,7472.7720288684095,7472.7720288684095,0.0,0.0,0.0,7472.7720288684095
2023-01-01 08:30:00,8020.384090164466,8020.384090164467,0.0,0.0,0.0,8020.384090164467
2023-01-01 08:45:00,8652.200051173451,8652.200051173451,0.0,0.0,0.0,8652.200051173451
2023-01-01 09:00:00,9271.254694411948,9271.254694411948,0.0,0.0,0.0,9271.254694411948
2023-01-01 09:15:00,9872.778956313501,9872.778956313501,0.0,0.0,0.0,9872.778956313501
2023-01-01 09:30:00,10478.714125062095,10478.714125062095,0.0,0.0,0.0,10478.714125062095
2023-01-01 09:45:00,10939.53886966954,10939.53886966954,0.0,0.0,0.0,10939.53886966954
2023-01-01 10:00:00,11436.440004868378,11436.440004868378,0.0,0.0,0.0,11436.440004868378
2023-01-01 10:15:00,11752.988668614986,11752.988668614986,0.0,0.0,0.0,11752.988668614986
2023-01-01 10:30:00,11860.032245571389,11860.032245571389,0.0,0.0,0.0,11860.032245571389
2023-01-01 10:45:00,11766.010407926893,11766.010407926893,0.0,0.0,0.0,11766.010407926893
2023-01-01 11:00:00,11778.993390768424,11778.993390768424,0.0,0.0,0.0,11778.993390768424
2023-01-01 11:15:00,11817.82716697234,11817.82716697234,0.0,0.0,0.0,11817.82716697234
2023-01-01 11:30:00,11781.082423540436,11781.082423540436,0.0,0.0,0.0,11781.082423540436
2023-01-01 11:45:00,11700.049134845376,11700.049134845376,0.0,0.0,0.0,11700.049134845376
2023-01-01 12:00:00,11626.656561857999,11626.656561857999,0.0,0.0,0.0,11626.656561857999
2023-01-01 12:15:00,11458.968121470414,11458.968121470414,0.0,0.0,0.0,11458.968121470414
2023-01-01 12:30:00,11382.855314601315,11382.855314601315,0.0,0.0,0.0,11382.855314601315
2023-01-01 12:45:00,11287.215612433109,11287.215612433109,0.0,0.0,0.0,11287.215612433109
2023-01-01 13:00:00,11219.24931208622,11219.24931208622,0.0,0.0,0.0,11219.24931208622
2023-01-01 13:15:00,11260.569827319126,11260.569827319126,0.0,0.0,0.0,11260.569827319126
2023-01-01 13:30:00,11257.149814219516,11257.149814219516,0.0,0.0,0.0,11257.149814219516
2023-01-01 13:45:00,11161.299389123444,11161.299389123444,0.0,0.0,0.0,11161.299389123444
2023-01-01 14:00:00,11064.959767868306,11064.959767868306,0.0,0.0,0.0,11064.959767868306
2023-01-01 14:15:00,11078.11110730847,11078.11110730847,0.0,0.0,0.0,11078.11110730847
2023-01-01 14:30:00,11137.454874972183,11137.454874972183,0.0,0.0,0.0,11137.454874972183
2023-01-01 14:45:00,11152.436236687008,11152.436236687008,0.0,0.0,0.0,11152.436236687008
2023-01-01 15:00:00,11198.38336800638,11198.38336800638,0.0,0.0,0.0,11198.38336800638
2023-01-01 15:15:00,11282.020685735071,11282.020685735071,0.0,0.0,0.0,11282.020685735071
2023-01-01 15:30:00,11328.82557140376,11328.82557140376,0.0,0.0,0.0,11328.82557140376
2023-01-01 15:45:00,11326.212440436819,11326.212440436819,0.0,0.0,0.0,11326.212440436819
2023-01-01 16:00:00,11293.218725483533,11293.218725483533,0.0,0.0,0.0,11293.218725483533
2023-01-01 16:15:00,11281.660036908153,11281.660036908153,0.0,0.0,0.0,11281.660036908153
