Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29308.348
Power Load Factor (%),45.31
Heat Load Factor (%),47.38
Power Consumption (MWh/year),96327.559
Net Power Consumption (MWh/year),-8142032945.732
Gas Consumption (MWh/year),0.0
Total Cost (M$/year),246240.483
Operational Emissions (MtonCO2/year),0.0
LCOE (Energy) ($/kWh),6264.331
CIE (Energy) (kgCO2/kWh),0.0
Gas Boiler Capacity (MW),0.0
Heat Pump Capacity (MW),40.611
Electric Boiler Capacity (MW),417.988
Battery Capacity (MWh),23.95
Thermal Storage Energy Capacity (MWh),100.553
Thermal Storage Power Capacity (MW),412.661
PV System Capacity (MW),116844.105
Wind System Capacity (MW),2262557.028
Battery Cycles (cycles/year),10833.199
