Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29308.348
Power Load Factor (%),45.31
Heat Load Factor (%),47.38
Power Consumption (MWh/year),10000.0
Net Power Consumption (MWh/year),10000.0
Gas Consumption (MWh/year),30850.892
Total Cost (M$/year),3.444
Operational Emissions (MtonCO2/year),10.57
LCOE (Energy) ($/kWh),0.088
CIE (Energy) (kgCO2/kWh),0.269
Gas Boiler Capacity (MW),7.061
Heat Pump Capacity (MW),0.0
Electric Boiler Capacity (MW),0.0
Battery Capacity (MWh),0.0
Thermal Storage Energy Capacity (MWh),0.0
Thermal Storage Power Capacity (MW),0.0
PV System Capacity (MW),0.0
Wind System Capacity (MW),0.0
Battery Cycles (cycles/year),0.0
