,Heat Load,NaturalGasBoiler,Lithium Ion Battery,PVsystem,Windsystem,Total Heat Output
2023-01-01 00:00:00,1188.2746816575293,1188.2746816575293,0.0,0.0,0.0,1188.2746816575293
2023-01-01 00:15:00,1175.0556658511991,1175.0556658511991,0.0,0.0,0.0,1175.0556658511991
2023-01-01 00:30:00,1166.9230679275693,1166.9230679275693,0.0,0.0,0.0,1166.9230679275693
2023-01-01 00:45:00,1151.1230501716473,1151.1230501716473,0.0,0.0,0.0,1151.1230501716473
2023-01-01 01:00:00,1163.5533814110688,1163.5533814110688,0.0,0.0,0.0,1163.5533814110688
2023-01-01 01:15:00,1147.8013053936493,1147.8013053936493,0.0,0.0,0.0,1147.8013053936493
2023-01-01 01:30:00,1134.9908856867721,1134.9908856867721,0.0,0.0,0.0,1134.9908856867721
2023-01-01 01:45:00,1142.6768794617537,1142.6768794617537,0.0,0.0,0.0,1142.6768794617537
2023-01-01 02:00:00,1122.1804659798945,1122.1804659798945,0.0,0.0,0.0,1122.1804659798945
2023-01-01 02:15:00,1122.1804659798947,1122.1804659798947,0.0,0.0,0.0,1122.1804659798947
2023-01-01 02:30:00,1117.056040047999,1117.056040047999,0.0,0.0,0.0,1117.056040047999
2023-01-01 02:45:00,1117.056040047999,1117.056040047999,0.0,0.0,0.0,1117.056040047999
2023-01-01 03:00:00,1106.8080483480232,1106.8080483480232,0.0,0.0,0.0,1106.8080483480232
2023-01-01 03:15:00,1096.5596265661397,1096.5596265661397,0.0,0.0,0.0,1096.5596265661397
2023-01-01 03:30:00,1093.9976286411459,1093.9976286411459,0.0,0.0,0.0,1093.9976286411459
2023-01-01 03:45:00,1081.1872089342683,1081.1872089342683,0.0,0.0,0.0,1081.1872089342683
2023-01-01 04:00:00,1086.3112047842562,1086.3112047842562,0.0,0.0,0.0,1086.3112047842562
2023-01-01 04:15:00,1083.7492068592624,1083.7492068592624,0.0,0.0,0.0,1083.7492068592624
2023-01-01 04:30:00,1099.1216244911336,1099.1216244911336,0.0,0.0,0.0,1099.1216244911336
2023-01-01 04:45:00,1091.435200634244,1091.435200634244,0.0,0.0,0.0,1091.435200634244
2023-01-01 05:00:00,1104.2456203411216,1104.2456203411216,0.0,0.0,0.0,1104.2456203411216
2023-01-01 05:15:00,1101.6836224161277,1101.6836224161277,0.0,0.0,0.0,1101.6836224161277
2023-01-01 05:30:00,1083.7492068592624,1083.7492068592624,0.0,0.0,0.0,1083.7492068592624
2023-01-01 05:45:00,1099.1211944092258,1099.1211944092258,0.0,0.0,0.0,1099.1211944092258
2023-01-01 06:00:00,1122.180035897987,1122.180035897987,0.0,0.0,0.0,1122.180035897987
2023-01-01 06:15:00,1158.0488670117172,1158.0488670117172,0.0,0.0,0.0,1158.0488670117172
2023-01-01 06:30:00,1186.2317043504659,1186.2317043504659,0.0,0.0,0.0,1186.2317043504659
2023-01-01 06:45:00,1229.786529239178,1229.786529239178,0.0,0.0,0.0,1229.786529239178
2023-01-01 07:00:00,1314.3346111735161,1314.3346111735161,0.0,0.0,0.0,1314.3346111735161
2023-01-01 07:15:00,1398.8822630259463,1398.8822630259463,0.0,0.0,0.0,1398.8822630259463
2023-01-01 07:30:00,1652.5260787470531,1652.5260787470531,0.0,0.0,0.0,1652.5260787470531
2023-01-01 07:45:00,1906.169464386252,1906.169464386252,0.0,0.0,0.0,1906.169464386252
2023-01-01 08:00:00,2272.5433392166296,2272.5433392166296,0.0,0.0,0.0,2272.5433392166296
2023-01-01 08:15:00,2564.617553894553,2564.617553894553,0.0,0.0,0.0,2564.617553894553
2023-01-01 08:30:00,2846.4437768725006,2846.4437768725006,0.0,0.0,0.0,2846.4437768725006
2023-01-01 08:45:00,3115.4595801435707,3115.4595801435707,0.0,0.0,0.0,3115.4595801435707
2023-01-01 09:00:00,3389.5993792646295,3389.5993792646295,0.0,0.0,0.0,3389.5993792646295
2023-01-01 09:15:00,3663.7391783856865,3663.7391783856865,0.0,0.0,0.0,3663.7391783856865
2023-01-01 09:30:00,3968.623812770488,3968.623812770488,0.0,0.0,0.0,3968.623812770488
2023-01-01 09:45:00,4168.4639517390915,4168.4639517390915,0.0,0.0,0.0,4168.4639517390915
2023-01-01 10:00:00,4370.866518714596,4370.866518714596,0.0,0.0,0.0,4370.866518714596
2023-01-01 10:15:00,4468.224590273903,4468.224590273903,0.0,0.0,0.0,4468.224590273903
2023-01-01 10:30:00,4511.779845244522,4511.779845244522,0.0,0.0,0.0,4511.779845244522
2023-01-01 10:45:00,4437.480185092069,4437.480185092069,0.0,0.0,0.0,4437.480185092069
2023-01-01 11:00:00,4519.466269101413,4519.466269101413,0.0,0.0,0.0,4519.466269101413
2023-01-01 11:15:00,4609.138346885739,4609.138346885739,0.0,0.0,0.0,4609.138346885739
2023-01-01 11:30:00,4652.693171774451,4652.693171774451,0.0,0.0,0.0,4652.693171774451
2023-01-01 11:45:00,4696.24842674507,4696.24842674507,0.0,0.0,0.0,4696.24842674507
2023-01-01 12:00:00,4719.306838151924,4719.306838151924,0.0,0.0,0.0,4719.306838151924
2023-01-01 12:15:00,4693.686428820077,4693.686428820077,0.0,0.0,0.0,4693.686428820077
2023-01-01 12:30:00,4714.182842301936,4714.182842301936,0.0,0.0,0.0,4714.182842301936
2023-01-01 12:45:00,4750.051673415666,4750.051673415666,0.0,0.0,0.0,4750.051673415666
2023-01-01 13:00:00,4755.175669265654,4755.175669265654,0.0,0.0,0.0,4755.175669265654
2023-01-01 13:15:00,4824.350903486214,4824.350903486214,0.0,0.0,0.0,4824.350903486214
2023-01-01 13:30:00,4890.964569863687,4890.964569863687,0.0,0.0,0.0,4890.964569863687
2023-01-01 13:45:00,4837.161323193091,4837.161323193091,0.0,0.0,0.0,4837.161323193091
2023-01-01 14:00:00,4744.927247483771,4744.927247483771,0.0,0.0,0.0,4744.927247483771
2023-01-01 14:15:00,4755.1756692656545,4755.1756692656545,0.0,0.0,0.0,4755.1756692656545
2023-01-01 14:30:00,4806.4164879293485,4806.4164879293485,0.0,0.0,0.0,4806.4164879293485
2023-01-01 14:45:00,4819.226907636225,4819.226907636225,0.0,0.0,0.0,4819.226907636225
2023-01-01 15:00:00,4803.854490004354,4803.854490004354,0.0,0.0,0.0,4803.854490004354
2023-01-01 15:15:00,4857.657736674951,4857.657736674951,0.0,0.0,0.0,4857.657736674951
2023-01-01 15:30:00,4875.592152231816,4875.592152231816,0.0,0.0,0.0,4875.592152231816
2023-01-01 15:45:00,4847.409744974974,4847.409744974974,0.0,0.0,0.0,4847.409744974974
2023-01-01 16:00:00,4775.672512829422,4775.672512829422,0.0,0.0,0.0,4775.672512829422
2023-01-01 16:15:00,4714.183272383843,4714.183272383843,0.0,0.0,0.0,4714.183272383843
2023-01-01 16:30:00,4624.511194599519,4624.511194599519,0.0,0.0,0.0,4624.511194599519
2023-01-01 16:45:00,4650.131603931365,4650.131603931365,0.0,0.0,0.0,4650.131603931365
2023-01-01 17:00:00,4586.079935478886,4586.079935478886,0.0,0.0,0.0,4586.079935478886
2023-01-01 17:15:00,4447.7290369558605,4447.7290369558605,0.0,0.0,0.0,4447.7290369558605
2023-01-01 17:30:00,4373.429376803405,4373.429376803405,0.0,0.0,0.0,4373.429376803405
2023-01-01 17:45:00,4358.056959171535,4358.056959171535,0.0,0.0,0.0,4358.056959171535
2023-01-01 18:00:00,4224.830056498496,4224.830056498496,0.0,0.0,0.0,4224.830056498496
2023-01-01 18:15:00,4019.865491597997,4019.8654915979973,0.0,0.0,0.0,4019.8654915979973
2023-01-01 18:30:00,3796.966511140633,3796.966511140633,0.0,0.0,0.0,3796.966511140633
2023-01-01 18:45:00,3563.819108901386,3563.819108901386,0.0,0.0,0.0,3563.819108901386
2023-01-01 19:00:00,3322.9857128871563,3322.9857128871563,0.0,0.0,0.0,3322.9857128871563
2023-01-01 19:15:00,3138.517561468516,3138.517561468516,0.0,0.0,0.0,3138.517561468516
2023-01-01 19:30:00,2879.75017997933,2879.75017997933,0.0,0.0,0.0,2879.75017997933
2023-01-01 19:45:00,2649.1652057469837,2649.1652057469837,0.0,0.0,0.0,2649.1652057469837
2023-01-01 20:00:00,2421.1422294396316,2421.1422294396316,0.0,0.0,0.0,2421.1422294396316
2023-01-01 20:15:00,2187.9952572822917,2187.9952572822917,0.0,0.0,0.0,2187.9952572822917
2023-01-01 20:30:00,1947.1622913499707,1947.1622913499705,0.0,0.0,0.0,1947.1622913499705
2023-01-01 20:45:00,1780.6285554881956,1780.6285554881956,0.0,0.0,0.0,1780.6285554881956
2023-01-01 21:00:00,1683.270483928888,1683.270483928888,0.0,0.0,0.0,1683.270483928888
2023-01-01 21:15:00,1611.532821701427,1611.532821701427,0.0,0.0,0.0,1611.532821701427
2023-01-01 21:30:00,1555.1675771058378,1555.1675771058378,0.0,0.0,0.0,1555.1675771058378
2023-01-01 21:45:00,1521.8607439171012,1521.8607439171012,0.0,0.0,0.0,1521.8607439171012
2023-01-01 22:00:00,1516.7367480671132,1516.7367480671132,0.0,0.0,0.0,1516.7367480671132
2023-01-01 22:15:00,1478.305919028389,1478.305919028389,0.0,0.0,0.0,1478.305919028389
2023-01-01 22:30:00,1444.9990858396525,1444.9990858396525,0.0,0.0,0.0,1444.9990858396525
2023-01-01 22:45:00,1402.756087987441,1402.756087987441,0.0,0.0,0.0,1402.756087987441
2023-01-01 23:00:00,1400.0011131767722,1400.0011131767722,0.0,0.0,0.0,1400.0011131767722
2023-01-01 23:15:00,1369.7655439803937,1369.7655439803937,0.0,0.0,0.0,1369.7655439803937
2023-01-01 23:30:00,1311.8495876895684,1311.8495876895684,0.0,0.0,0.0,1311.8495876895684
2023-01-01 23:45:00,1261.7195299482728,1261.7195299482728,0.0,0.0,0.0,1261.7195299482728
2023-01-02 00:00:00,1298.0861576280643,1298.0861576280643,0.0,0.0,0.0,1298.0861576280643
2023-01-02 00:15:00,1308.551380529657,1308.551380529657,0.0,0.0,0.0,1308.551380529657
2023-01-02 00:30:00,1301.0821878743848,1301.0821878743848,0.0,0.0,0.0,1301.0821878743848
2023-01-02 00:45:00,1267.366131394188,1267.366131394188,0.0,0.0,0.0,1267.366131394188
2023-01-02 01:00:00,1257.752565458217,1257.752565458217,0.0,0.0,0.0,1257.752565458217
2023-01-02 01:15:00,1257.9697966598344,1257.9697966598344,0.0,0.0,0.0,1257.9697966598344
2023-01-02 01:30:00,1257.9697966598344,1257.9697966598344,0.0,0.0,0.0,1257.9697966598344
2023-01-02 01:45:00,1232.3493873279876,1232.3493873279876,0.0,0.0,0.0,1232.3493873279876
2023-01-02 02:00:00,1211.8529738461284,1211.8529738461284,0.0,0.0,0.0,1211.8529738461284
2023-01-02 02:15:00,1214.4149717711223,1214.4149717711223,0.0,0.0,0.0,1214.4149717711223
