Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29308.348
Power Load Factor (%),45.31
Heat Load Factor (%),47.38
Power Consumption (MWh/year),10155.23
Net Power Consumption (MWh/year),-578.656
Gas Consumption (MWh/year),30850.892
Total Cost (M$/year),2.564
Operational Emissions (MtonCO2/year),7.87
LCOE (Energy) ($/kWh),0.065
CIE (Energy) (kgCO2/kWh),0.2
Gas Boiler Capacity (MW),7.061
Heat Pump Capacity (MW),0.0
Electric Boiler Capacity (MW),0.0
Battery Capacity (MWh),2.077
Thermal Storage Energy Capacity (MWh),0.0
Thermal Storage Power Capacity (MW),0.0
PV System Capacity (MW),2.282
Wind System Capacity (MW),1.562
Battery Cycles (cycles/year),400.499
