,Heat Load,NaturalGasBoiler,Total Heat Output
2023-01-01 00:00:00,4793.216475815447,4793.216475815447,4793.216475815447
2023-01-01 00:15:00,5022.016464369772,5022.016464369772,5022.016464369772
2023-01-01 00:30:00,5222.318456907376,5222.318456907376,5222.318456907376
2023-01-01 00:45:00,5409.161936674882,5409.161936674882,5409.161936674882
2023-01-01 01:00:00,5597.093119849316,5597.093119849316,5597.093119849316
2023-01-01 01:15:00,5789.869169953444,5789.869169953444,5789.869169953444
2023-01-01 01:30:00,5742.751386746244,5742.751386746244,5742.751386746244
2023-01-01 01:45:00,5693.748232220797,5693.748232220797,5693.748232220797
2023-01-01 02:00:00,5624.013693077489,5624.013693077489,5624.013693077489
2023-01-01 02:15:00,5624.013693077489,5624.013693077489,5624.013693077489
2023-01-01 02:30:00,5608.935672456205,5608.935672456205,5608.935672456205
2023-01-01 02:45:00,5569.356624563831,5569.356624563831,5569.356624563831
2023-01-01 03:00:00,5558.048246595777,5558.048246595777,5558.048246595777
2023-01-01 03:15:00,5531.661848006438,5531.661848006438,5531.661848006438
2023-01-01 03:30:00,5516.583827385153,5516.583827385153,5516.583827385153
2023-01-01 03:45:00,5503.390628090487,5503.390628090487,5503.390628090487
2023-01-01 04:00:00,5503.390628090487,5503.390628090487,5503.390628090487
2023-01-01 04:15:00,5509.044542078696,5509.044542078696,5509.044542078696
2023-01-01 04:30:00,5429.886446293949,5429.886446293949,5429.886446293949
2023-01-01 04:45:00,5328.111594573092,5328.111594573092,5328.111594573092
2023-01-01 05:00:00,5201.835165589512,5201.835165589512,5201.835165589512
2023-01-01 05:15:00,5060.481265976282,5060.481265976282,5060.481265976282
2023-01-01 05:30:00,4924.781280351261,4924.781280351261,4924.781280351261
2023-01-01 05:45:00,4664.689687069275,4664.689687069275,4664.689687069275
2023-01-01 06:00:00,4312.246798707872,4312.246798707872,4312.246798707872
2023-01-01 06:15:00,3931.5326904305175,3931.532690430518,3931.532690430518
2023-01-01 06:30:00,3548.9343108181806,3548.9343108181806,3548.9343108181806
2023-01-01 06:45:00,3187.0673158237055,3187.0673158237055,3187.0673158237055
2023-01-01 07:00:00,2825.200870820863,2825.200870820863,2825.200870820863
2023-01-01 07:15:00,2542.4925216027686,2542.4925216027686,2542.4925216027686
2023-01-01 07:30:00,2286.170020982379,2286.170020982379,2286.170020982379
2023-01-01 07:45:00,2050.5794549714833,2050.5794549714833,2050.5794549714833
2023-01-01 08:00:00,1820.643352940432,1820.643352940432,1820.643352940432
2023-01-01 08:15:00,1618.9779208337002,1618.9779208337002,1618.9779208337002
2023-01-01 08:30:00,1528.5114470808976,1528.5114470808976,1528.5114470808976
2023-01-01 08:45:00,1543.5889177105482,1543.5889177105482,1543.5889177105482
2023-01-01 09:00:00,1583.168515594555,1583.168515594555,1583.168515594555
2023-01-01 09:15:00,1624.6323848135437,1624.6323848135437,1624.6323848135437
2023-01-01 09:30:00,1632.1711201283688,1632.1711201283688,1632.1711201283688
2023-01-01 09:45:00,1634.0559414549837,1634.0559414549837,1634.0559414549837
2023-01-01 10:00:00,1634.0559414549834,1634.0559414549834,1634.0559414549834
2023-01-01 10:15:00,1588.8224295827658,1588.8224295827658,1588.8224295827658
2023-01-01 10:30:00,1511.5486051329997,1511.5486051329997,1511.5486051329997
2023-01-01 10:45:00,1430.505138030004,1430.505138030004,1430.505138030004
2023-01-01 11:00:00,1336.2690216239723,1336.2690216239723,1336.2690216239723
2023-01-01 11:15:00,1242.0329052179409,1242.0329052179409,1242.0329052179409
2023-01-01 11:30:00,1149.681610138524,1149.681610138524,1149.681610138524
2023-01-01 11:45:00,1055.4454937324924,1055.4454937324924,1055.4454937324924
2023-01-01 12:00:00,953.6700920200027,953.6700920200027,953.6700920200027
2023-01-01 12:15:00,844.3565049843205,844.3565049843205,844.3565049843205
2023-01-01 12:30:00,738.8120106102347,738.8120106102347,738.8120106102347
2023-01-01 12:45:00,637.0366088977449,637.0366088977449,637.0366088977449
2023-01-01 13:00:00,578.6104477224911,578.6104477224911,578.6104477224911
