Attributes,Values
Power Load (MWh/year),10000.0
Heat Load (MWh/year),29389.529
Power Load Factor (%),25.18
Heat Load Factor (%),25.74
Power Consumption (MWh/year),13939.892
Net Power Consumption (MWh/year),-1220.684
Gas Consumption (MWh/year),20035.125
Total Cost (M$/year),3.056
Operational Emissions (MtonCO2/year),5.85
LCOE (Energy) ($/kWh),0.078
CIE (Energy) (kgCO2/kWh),0.148
Gas Boiler Capacity (MW),10.677
Heat Pump Capacity (MW),1.371
Electric Boiler Capacity (MW),0.782
Battery Capacity (MWh),3.745
Thermal Storage Energy Capacity (MWh),38.212
Thermal Storage Power Capacity (MW),0.982
PV System Capacity (MW),4.306
Wind System Capacity (MW),1.482
Battery Cycles (cycles/year),346.916
