Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,640221,-,-,-,42.74,-110.05,-7,2165,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature,GHI,Solar Zenith Angle,Precipitable Water
2022,1,1,0,0,0,0,1.6,-22.6,0,159.66,0.2
2022,1,1,0,15,0,0,1.6,-22.8,0,160.17000000000002,0.2
2022,1,1,0,30,0,0,1.6,-23.1,0,160.21,0.1
2022,1,1,0,45,0,0,1.6,-23.3,0,159.76,0.1
2022,1,1,1,0,0,0,1.7000000000000002,-23.5,0,158.86,0.1
2022,1,1,1,15,0,0,1.7000000000000002,-23.700000000000003,0,157.56,0.1
2022,1,1,1,30,0,0,1.7000000000000002,-23.900000000000002,0,155.93,0.1
2022,1,1,1,45,0,0,1.7000000000000002,-24.1,0,154.04,0.1
2022,1,1,2,0,0,0,1.7000000000000002,-24.3,0,151.93,0.1
2022,1,1,2,15,0,0,1.7000000000000002,-24.400000000000002,0,149.65,0.1
2022,1,1,2,30,0,0,1.7000000000000002,-24.6,0,147.25,0.1
2022,1,1,2,45,0,0,1.7000000000000002,-24.8,0,144.75,0.1
2022,1,1,3,0,0,0,1.7000000000000002,-24.900000000000002,0,142.18,0.1
2022,1,1,3,15,0,0,1.7000000000000002,-25.1,0,139.55,0.1
2022,1,1,3,30,0,0,1.7000000000000002,-25.200000000000003,0,136.87,0.1
2022,1,1,3,45,0,0,1.7000000000000002,-25.3,0,134.16,0.1
2022,1,1,4,0,0,0,1.7000000000000002,-25.400000000000002,0,131.43,0.1
2022,1,1,4,15,0,0,1.7000000000000002,-25.5,0,128.69,0.1
2022,1,1,4,30,0,0,1.7000000000000002,-25.5,0,125.94,0.1
2022,1,1,4,45,0,0,1.7000000000000002,-25.5,0,123.19,0.1
2022,1,1,5,0,0,0,1.7000000000000002,-25.5,0,120.44,0.1
2022,1,1,5,15,0,0,1.7000000000000002,-25.5,0,117.69,0.1
2022,1,1,5,30,0,0,1.7000000000000002,-25.5,0,114.97,0.1
2022,1,1,5,45,0,0,1.7000000000000002,-25.5,0,112.26,0.1
2022,1,1,6,0,0,0,1.7000000000000002,-25.400000000000002,0,109.57000000000001,0.1
2022,1,1,6,15,0,0,1.7000000000000002,-25.5,0,106.91,0.1
2022,1,1,6,30,0,0,1.7000000000000002,-25.5,0,104.27,0.1
2022,1,1,6,45,0,0,1.7000000000000002,-25.6,0,101.68,0.1
2022,1,1,7,0,0,0,1.7000000000000002,-25.6,0,99.12,0.1
2022,1,1,7,15,0,0,1.7000000000000002,-25.6,0,96.61,0.1
2022,1,1,7,30,0,0,1.7000000000000002,-25.5,0,94.14,0.1
2022,1,1,7,45,0,0,1.7000000000000002,-25.5,0,91.73,0.1
2022,1,1,8,0,0,0,1.7000000000000002,-25.400000000000002,0,89.03,0.1
2022,1,1,8,15,25,1,1.9000000000000001,-24.700000000000003,25,86.9,0.1
2022,1,1,8,30,22,665,2,-24,82,84.76,0.1
2022,1,1,8,45,26,749,2.1,-23.3,122,82.66,0.1
2022,1,1,9,0,80,4,2.2,-22.6,80,80.64,0.1
2022,1,1,9,15,33,858,2.4000000000000004,-21.5,201,78.71000000000001,0.1
2022,1,1,9,30,36,896,2.5,-20.400000000000002,240,76.87,0.1
2022,1,1,9,45,39,926,2.6,-19.3,276,75.15,0.1
2022,1,1,10,0,41,951,2.8000000000000003,-18.2,310,73.54,0.1
2022,1,1,10,15,43,971,2.9000000000000004,-17.5,342,72.05,0.1
2022,1,1,10,30,44,987,3.1,-16.900000000000002,370,70.71000000000001,0.1
2022,1,1,10,45,46,1000,3.2,-16.3,396,69.5,0.1
2022,1,1,11,0,47,1010,3.3000000000000003,-15.600000000000001,418,68.45,0.1
2022,1,1,11,15,48,1019,3.5,-15.3,437,67.56,0.1
2022,1,1,11,30,49,1025,3.7,-15,452,66.83,0.1
2022,1,1,11,45,50,1030,3.8000000000000003,-14.600000000000001,464,66.27,0.1
2022,1,1,12,0,50,1033,4,-14.3,472,65.9,0.1
