SiteID,184029,Site Timezone,-8,Data Timezone,-8,Longitude,-121.65322876,Latitude,37.7319869995
Year,Month,Day,Hour,Minute,wind speed at 140m (m/s),wind direction at 140m (deg),air temperature at 140m (C),air pressure at 100m (Pa)
2014,1,1,0,0,3.23,14.950000000000001,12.23,97570
2014,1,1,0,15,3.1,17.29,12.17,97570
2014,1,1,0,30,2.89,17.62,12.18,97570
2014,1,1,0,45,2.74,20.91,12.120000000000001,97560
2014,1,1,1,0,2.44,22.580000000000002,12.01,97570
2014,1,1,1,15,2.58,26.23,11.99,97550
2014,1,1,1,30,2.74,29.060000000000002,11.950000000000001,97550
2014,1,1,1,45,2.91,27.96,11.81,97560
2014,1,1,2,0,3.0300000000000002,29.54,11.74,97550
2014,1,1,2,15,3.06,33.8,11.83,97550
2014,1,1,2,30,3.2,42.72,11.89,97540
2014,1,1,2,45,3.49,48.2,11.94,97540
2014,1,1,3,0,3.61,54.38,11.97,97540
2014,1,1,3,15,3.62,59.76,12.09,97540
2014,1,1,3,30,3.5100000000000002,64.49,12.25,97540
2014,1,1,3,45,3.5500000000000003,66.99,12.4,97540
2014,1,1,4,0,3.5500000000000003,69.8,12.58,97530
2014,1,1,4,15,3.68,71.10000000000001,12.74,97540
2014,1,1,4,30,3.44,72.78,12.91,97540
2014,1,1,4,45,3.08,70.92,13.17,97550
2014,1,1,5,0,3.21,62.190000000000005,13.43,97550
2014,1,1,5,15,3.47,56.38,13.49,97550
2014,1,1,5,30,3.41,49.82,13.59,97550
2014,1,1,5,45,3.74,39.12,13.77,97540
2014,1,1,6,0,4.05,36.230000000000004,13.73,97540
2014,1,1,6,15,3.99,35.37,13.61,97550
2014,1,1,6,30,3.89,37.68,13.43,97550
2014,1,1,6,45,3.84,41.69,13.24,97540
2014,1,1,7,0,3.93,42.51,13.11,97540
2014,1,1,7,15,3.85,40.95,13,97540
2014,1,1,7,30,3.71,37.47,12.92,97540
2014,1,1,7,45,3.58,34.480000000000004,12.82,97550
2014,1,1,8,0,3.49,33.22,12.69,97550
2014,1,1,8,15,3.58,31.720000000000002,12.56,97550
2014,1,1,8,30,3.39,34.15,12.41,97550
2014,1,1,8,45,3.0700000000000003,36.7,12.24,97550
2014,1,1,9,0,2.66,36.51,12.08,97560
2014,1,1,9,15,2.41,32.19,11.950000000000001,97570
2014,1,1,9,30,2.25,22.04,11.85,97570
2014,1,1,9,45,2.34,18.34,11.91,97570
2014,1,1,10,0,2.42,21.080000000000002,12.07,97570
2014,1,1,10,15,2.6,25.02,12.18,97560
2014,1,1,10,30,2.69,21,12.32,97560
2014,1,1,10,45,2.8000000000000003,18.63,12.47,97550
2014,1,1,11,0,2.96,20.22,12.63,97550
2014,1,1,11,15,3.0500000000000003,18.68,12.8,97560
2014,1,1,11,30,3.02,17.22,12.99,97550
2014,1,1,11,45,2.93,16.25,13.23,97550
2014,1,1,12,0,2.87,19.39,13.49,97540
2014,1,1,12,15,2.95,21.59,13.73,97530
2014,1,1,12,30,2.91,21.12,13.96,97530
2014,1,1,12,45,2.7800000000000002,13.16,14.21,97530
2014,1,1,13,0,2.79,10.25,14.450000000000001,97520
2014,1,1,13,15,2.84,16.38,14.68,97500
2014,1,1,13,30,2.7600000000000002,17.03,14.870000000000001,97490
2014,1,1,13,45,2.72,13.09,15.040000000000001,97480
2014,1,1,14,0,2.89,10.96,15.18,97470
2014,1,1,14,15,2.91,12.15,15.280000000000001,97470
2014,1,1,14,30,2.92,17.07,15.32,97460
2014,1,1,14,45,2.98,20.240000000000002,15.26,97450
2014,1,1,15,0,2.94,21.98,15.17,97440
2014,1,1,15,15,2.87,22.490000000000002,15.07,97450
2014,1,1,15,30,2.72,23.57,14.94,97440
2014,1,1,15,45,2.67,26.740000000000002,14.780000000000001,97440
2014,1,1,16,0,2.67,23.84,14.67,97440
2014,1,1,16,15,2.74,21.02,14.6,97430
2014,1,1,16,30,2.75,22.32,14.530000000000001,97430
2014,1,1,16,45,2.88,18.46,14.56,97430
2014,1,1,17,0,3.0700000000000003,13.99,14.6,97430
2014,1,1,17,15,3.23,10.16,14.61,97430
2014,1,1,17,30,3.49,5.23,14.73,97430
2014,1,1,17,45,3.72,359.99,14.91,97430
2014,1,1,18,0,3.8200000000000003,358.89,15.120000000000001,97420
2014,1,1,18,15,3.8000000000000003,357.03000000000003,15.200000000000001,97420
2014,1,1,18,30,3.75,355.07,15.17,97430
2014,1,1,18,45,3.61,351.02,15.13,97430
2014,1,1,19,0,3.38,350.17,15.19,97430
2014,1,1,19,15,3.33,347.77,15.18,97430
2014,1,1,19,30,3.36,346.24,15.22,97440
2014,1,1,19,45,3.25,348.94,15.33,97440
2014,1,1,20,0,3.15,352.97,15.44,97440
2014,1,1,20,15,3.16,356.7,15.46,97450
2014,1,1,20,30,3.24,359.52,15.39,97460
2014,1,1,20,45,3.13,1.52,15.280000000000001,97460
2014,1,1,21,0,3.02,0.86,15.15,97470
2014,1,1,21,15,2.91,2.38,15.05,97470
2014,1,1,21,30,2.9,5.55,14.89,97480
2014,1,1,21,45,2.79,10.93,14.76,97480
2014,1,1,22,0,2.79,14.450000000000001,14.59,97480
2014,1,1,22,15,2.71,14.620000000000001,14.41,97480
2014,1,1,22,30,2.62,15.72,14.23,97490
2014,1,1,22,45,2.48,18.3,14.09,97490
2014,1,1,23,0,2.3000000000000003,23.04,14.01,97500
2014,1,1,23,15,2.1,29,14.02,97500
2014,1,1,23,30,2.04,34.22,14.08,97500
2014,1,1,23,45,1.93,34.58,14.07,97500
2014,1,2,0,0,1.76,37.9,14.07,97520
2014,1,2,0,15,1.75,44.09,14.040000000000001,97520
2014,1,2,0,30,1.78,48.24,14.040000000000001,97520
2014,1,2,0,45,1.78,45.42,14.06,97520
2014,1,2,1,0,1.85,41.21,14.14,97510
2014,1,2,1,15,2.0300000000000002,39.54,14.200000000000001,97490
2014,1,2,1,30,2.29,37.07,14.15,97490
2014,1,2,1,45,2.65,33.65,13.96,97480
2014,1,2,2,0,2.98,31.59,13.8,97480
2014,1,2,2,15,3.17,29.400000000000002,13.67,97470
2014,1,2,2,30,3.27,28.76,13.63,97470
2014,1,2,2,45,3.3200000000000003,28.82,13.66,97470
2014,1,2,3,0,3.45,29.71,13.700000000000001,97470
2014,1,2,3,15,3.59,31.03,13.71,97470
2014,1,2,3,30,3.67,33.480000000000004,13.55,97470
2014,1,2,3,45,3.67,34.62,13.32,97470
2014,1,2,4,0,3.7600000000000002,34.17,13.120000000000001,97470
2014,1,2,4,15,3.84,33.730000000000004,12.92,97470
2014,1,2,4,30,3.86,33.56,12.700000000000001,97480
2014,1,2,4,45,3.87,32.31,12.57,97480
2014,1,2,5,0,3.7800000000000002,30.650000000000002,12.57,97480
2014,1,2,5,15,3.81,29.09,12.63,97480
2014,1,2,5,30,3.87,28.490000000000002,12.68,97480
2014,1,2,5,45,3.91,27.900000000000002,12.72,97480
2014,1,2,6,0,4.1,27.87,12.76,97480
2014,1,2,6,15,4.3100000000000005,28.03,12.76,97470
2014,1,2,6,30,4.42,27.09,12.72,97480
2014,1,2,6,45,4.47,26.900000000000002,12.67,97470
2014,1,2,7,0,4.57,26.57,12.65,97470
2014,1,2,7,15,4.69,26.13,12.620000000000001,97470
2014,1,2,7,30,4.83,26.150000000000002,12.57,97470
2014,1,2,7,45,4.9,25.6,12.52,97480
2014,1,2,8,0,5,25.6,12.5,97480
2014,1,2,8,15,5.11,26.310000000000002,12.42,97480
2014,1,2,8,30,5.05,26.98,12.27,97480
2014,1,2,8,45,4.8500000000000005,26.3,12.11,97480
2014,1,2,9,0,4.72,26.07,11.97,97490
2014,1,2,9,15,4.62,24.560000000000002,11.83,97490
2014,1,2,9,30,4.58,22.01,11.71,97490
2014,1,2,9,45,4.39,18.93,11.63,97490
2014,1,2,10,0,4.2,17.55,11.620000000000001,97490
2014,1,2,10,15,4.0600000000000005,20.75,11.6,97490
2014,1,2,10,30,3.92,23.88,11.53,97480
2014,1,2,10,45,3.73,26.810000000000002,11.55,97480
2014,1,2,11,0,3.59,28.57,11.64,97470
2014,1,2,11,15,3.4,27.400000000000002,11.83,97470
2014,1,2,11,30,3.21,25.51,12.1,97460
2014,1,2,11,45,3.2,24.63,12.41,97450
2014,1,2,12,0,3.19,22.89,12.72,97450
2014,1,2,12,15,3.17,21.43,13.030000000000001,97440
2014,1,2,12,30,3.2,19.2,13.33,97430
2014,1,2,12,45,3.17,19.05,13.61,97430
2014,1,2,13,0,3.19,20.14,13.84,97410
2014,1,2,13,15,3.18,22.91,14.02,97400
2014,1,2,13,30,3.22,23.21,14.16,97380
2014,1,2,13,45,3.13,21.3,14.31,97370
2014,1,2,14,0,3.09,18.62,14.450000000000001,97360
2014,1,2,14,15,3.0700000000000003,17.43,14.56,97350
2014,1,2,14,30,3.06,18.900000000000002,14.63,97330
2014,1,2,14,45,3.0100000000000002,20.46,14.65,97320
2014,1,2,15,0,3.02,21.830000000000002,14.620000000000001,97300
2014,1,2,15,15,2.95,20.73,14.55,97290
2014,1,2,15,30,2.91,18.7,14.46,97280
2014,1,2,15,45,2.81,16.87,14.43,97270
2014,1,2,16,0,2.94,14.46,14.450000000000001,97260
2014,1,2,16,15,3.16,11.26,14.52,97260
2014,1,2,16,30,3.33,6.71,14.6,97250
2014,1,2,16,45,3.52,5.01,14.77,97250
2014,1,2,17,0,3.66,4,14.950000000000001,97240
2014,1,2,17,15,3.85,4.15,15.08,97240
2014,1,2,17,30,4.0200000000000005,4.64,15.200000000000001,97230
2014,1,2,17,45,4.14,6.09,15.33,97220
2014,1,2,18,0,4.2,7.67,15.49,97220
2014,1,2,18,15,4.1,8.97,15.57,97220
2014,1,2,18,30,3.97,11.23,15.57,97210
2014,1,2,18,45,3.89,13.4,15.51,97210
2014,1,2,19,0,3.9,15.82,15.42,97210
2014,1,2,19,15,3.67,15.4,15.33,97220
2014,1,2,19,30,3.42,13.67,15.26,97220
2014,1,2,19,45,3.18,12.38,15.200000000000001,97230
2014,1,2,20,0,3.2600000000000002,12.76,15.19,97220
2014,1,2,20,15,3.46,16.42,15.17,97220
2014,1,2,20,30,3.47,17.69,15.1,97210
2014,1,2,20,45,3.21,15.8,14.97,97220
2014,1,2,21,0,3.06,14.1,14.870000000000001,97220
2014,1,2,21,15,2.94,13.26,14.83,97210
2014,1,2,21,30,2.66,10.88,14.82,97210
2014,1,2,21,45,2.29,5.97,14.780000000000001,97210
2014,1,2,22,0,2.0300000000000002,4.13,14.77,97210
2014,1,2,22,15,1.8800000000000001,4.74,14.73,97210
2014,1,2,22,30,1.81,9.15,14.66,97210
2014,1,2,22,45,1.8,21.62,14.61,97200
2014,1,2,23,0,1.83,24.36,14.48,97210
2014,1,2,23,15,1.67,23.82,14.42,97210
2014,1,2,23,30,1.83,29.54,14.46,97220
2014,1,2,23,45,2.04,29.8,14.39,97210
2014,1,3,0,0,2.09,28.21,14.23,97220
2014,1,3,0,15,1.83,34.99,14.120000000000001,97220
2014,1,3,0,30,1.67,41.96,14.1,97210
2014,1,3,0,45,1.6,45.77,14.02,97210
2014,1,3,1,0,1.49,45.44,13.950000000000001,97200
2014,1,3,1,15,1.72,46.17,13.96,97190
2014,1,3,1,30,1.78,41.96,13.81,97190
2014,1,3,1,45,1.8,38.46,13.620000000000001,97190
2014,1,3,2,0,1.83,39.6,13.49,97180
2014,1,3,2,15,1.86,35.72,13.35,97180
2014,1,3,2,30,1.97,40.01,13.25,97180
2014,1,3,2,45,1.79,40.5,13.280000000000001,97180
2014,1,3,3,0,1.79,41.300000000000004,13.290000000000001,97170
2014,1,3,3,15,1.8,41.68,13.26,97170
2014,1,3,3,30,1.72,43.82,13.23,97170
2014,1,3,3,45,1.72,46.68,13.21,97170
2014,1,3,4,0,1.86,43.61,13.200000000000001,97160
